Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
contextual,ATG1 protein kinase complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The ATG1 protein kinase complex is a crucial component in the autophagy pathway;  specifically initiating the autophagy process by phosphorylating downstream ATG proteins. This action is vital for mobilizing cellular responses to nutrient deprivation.,ATG1;  ATG13;  ATG17;  ATG29;  ATG31,ATG1;  ATG13;  ATG17;  ATG29;  ATG31,0.955
zero-shot,NXF1-NXT1 mRNA Nuclear Export Factor Complex,Human,The NXF1-NXT1 complex is also found in Mouse;  Drosophila melanogaster;  and Caenorhabditis elegans.,The NXF1-NXT1 complex is primarily involved in the nuclear export of mRNA. It facilitates the transport of mRNA from the nucleus to the cytoplasm;  an essential process for gene expression. The complex binds to processed mRNAs and helps them pass through the nuclear pore complex.,The human NXF1-NXT1 complex is composed of two main proteins: NXF1 (Nuclear RNA export factor 1) and NXT1 (Nuclear Transport Factor 2-Like Export Factor 1).,NXF1 protein is encoded by the NXF1 gene.; NXT1 protein is encoded by the NXT1 gene.,0.96
few-shot,NXF1-NXT1 mRNA nuclear export factor complex',Human',Drosophila melanogaster;  Mouse',This complex plays a critical role in the nuclear export of messenger RNA (mRNA) by binding to the mRNA and facilitating its transport through the nuclear pore complex into the cytoplasm.',Nuclear RNA export factor 1 (NXF1);  Nuclear transport factor 2-like export factor 1 (NXT1)',NXF1;  NXT1',0.905
contextual,NXF1-NXT1 mRNA nuclear export factor complex,Human,Mouse;  C. elegans;  Drosophila melanogaster,Facilitates the export of mRNA from the nucleus to the cytoplasm by binding to mRNA export adaptors and supporting nuclear pore complex translocation.,Nuclear RNA export factor 1 (NXF1);  NTF2-related export protein 1 (NXT1),NXF1;  NXT1,0.967
zero-shot,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,The MON1-CCZ1 guanyl-nucleotide exchange factor (GEF) complex functions primarily as a regulator involved in the activation of Rab GTPases on endosomal membranes. It facilitates the conversion of Rab5 to Rab7 by acting as a GEF specific to Rab7;  thereby playing a critical role in endosome maturation and endolysosomal trafficking.,MON1 (Monensin sensitivity protein 1);  CCZ1 (Computethat chromatin zinc finger 1),In Saccharomyces cerevisiae;  these proteins correspond to the genes MON1 (YGL195W) and CCZ1 (YBR131W) respectively.,0.9575
few-shot,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,Regulates membrane trafficking and autophagy through the activation of the small GTPase;  Rab7;  by facilitating the transition from Rab5 to Rab7 on endosomes.,Mon1 protein;  Ccz1 protein,MON1;  CCZ1,0.94
contextual,MON1-CCZ1 guanyl-nucleotide exchange factor complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,This complex functions as a guanyl-nucleotide exchange factor (GEF) for the small GTPase Rab7;  which is crucial for endosomal maturation and trafficking within cells.,MON1 homologs (Mon1) and CCZ1 homologs (Ccz1),MON1;  CCZ1,0.925
zero-shot,HipHop-HOAP Telomere-Capping Complex,Drosophila melanogaster,The HipHop-HOAP complex is not prominently found in Humans;  Mouse;  C. elegans;  or Saccharomyces cerevisiae.,The HipHop-HOAP complex is essential for telomere capping;  which protects the ends of chromosomes from being mistakenly repaired as DNA breaks. Telomeres play a critical role in maintaining chromosome stability and are involved in the regulation of cellular aging and senescence.,The primary proteins constituting this complex in Drosophila melanogaster are HipHop and HOAP. HOAP is known for its role in binding to telomeres and protecting their DNA strand integrity;  while HipHop works in conjunction to support the capping function.,HipHop: CG3376; HOAP: caravaggio (cav),1.00
few-shot,HipHop-HOAP telomere-capping complex,Drosophila melanogaster,N/A,This complex is essential for protecting the ends of chromosomes from degradation and undesirable end-to-end fusions;  thus maintaining genome stability.,Heterochromatin Protein 1/ORC-Associated Protein (HP1/HOAP);  HipHop protein,caravaggio (cav) for HOAP;  CG31279 for HipHop,0.9125
contextual,HipHop-HOAP telomere-capping complex,Drosophila melanogaster,N/A,This complex plays a critical role in protecting telomeres;  ensuring they are properly capped and preventing them from being recognized as DNA damage;  which is pivotal for maintaining genomic stability.,HipHop;  HOAP,CG31255 (for HipHop);  caravaggio (cav;  for HOAP),0.9125
zero-shot,ZFP-1(AF10)/DOT-1 Complex,*Caenorhabditis elegans*,The similar complex (DOT1L-associated proteins and function) is found in humans and mice but with different naming and potentially varied subunit compositions.,The ZFP-1(AF10)/DOT-1 complex in *Caenorhabditis elegans* is involved in transcriptional regulation;  particularly impacting gene expression through the modification of chromatin. The complex affects H3K79 methylation;  a critical histone modification involved in gene expression regulation during development and cell differentiation.,ZFP-1 (zinc finger protein 1) and DOT-1 (disruptor of telomeric silencing 1),zfp-1 and dot-1,0.93
few-shot,ZFP-1(AF10)/DOT-1 complex',C. elegans',Human;  Mouse',The ZFP-1(AF10)/DOT-1 complex in C. elegans is involved in the regulation of gene expression through histone methylation;  specifically affecting H3K79 methylation;  which plays a key role in controlling transcription and development.',ZFP-1(AF10);  DOT-1',zfp-1;  dot-1',0.925
contextual,ZFP-1(AF10)/DOT-1 complex,C. elegans,Drosophila melanogaster;  Human;  Mouse,This complex is primarily involved in the regulation of gene expression during development by mediating histone methylation;  specifically affecting the chromatin state and transcriptional activity of specific genes.,Zinc finger protein 1 homolog (ZFP-1);  Disruptor of telomeric silencing one homolog (DOT-1),zfp-1;  dot-1',0.925
zero-shot,CED-3-CED-4-MAC-1 Complex,C. elegans,While analogs of individual components (e.g.;  caspases and APAF-1) can be found in humans and other animals such as mice and Drosophila;  the exact CED-3-CED-4-MAC-1 complex is specifically characterized in *C. elegans*.,The ced-3-ced-4-mac-1 complex is vital for the regulation of programmed cell death or apoptosis in the nematode *Caenorhabditis elegans*. This complex promotes activation of the caspase CED-3;  which executes apoptosis upon recruitment and activation by CED-4. MAC-1 is less characterized but is believed to play a supportive role in this complex formation and function.,CED-3;  CED-4;  MAC-1,ced-3;  ced-4;  mac-1,1.00
few-shot,CED-3-CED-4-MAC-1 complex',C. elegans',N/A',This complex plays a crucial role in the programmed cell death (apoptosis) pathway in C. elegans by facilitating the activation of the CED-3 protease;  which is an essential executor caspase in apoptosis.',CED-3;  CED-4;  MAC-1',ced-3;  ced-4;  mac-1',0.9
contextual,ced-3-ced-4-mac-1 complex,*Caenorhabditis elegans*,N/A,This complex plays an integral role in the programmed cell death pathway in *Caenorhabditis elegans*. CED-3 is a caspase that is activated by the CED-4 protein;  which is homologous to Apaf-1 in mammals. The MAC-1 component is less characterized but thought to assist in the apoptotic signaling cascade.,CED-3;  CED-4;  MAC-1,ced-3;  ced-4;  mac-1,0.946
zero-shot,Nuclear mitotic cohesin complex,Saccharomyces cerevisiae (budding yeast),This protein complex is found in homologous forms in other organisms such as Humans;  Mouse;  C. elegans;  and Drosophila melanogaster.,The nuclear mitotic cohesin complex is primarily involved in sister chromatid cohesion during cell division;  specifically during mitosis. It ensures proper chromosomes segregation;  maintains genomic stability;  and facilitates DNA repair.,The core components of the nuclear mitotic cohesin complex in Saccharomyces cerevisiae are Smc1;  Smc3;  Scc1 (also known as Mcd1);  and Scc3. These proteins form a ring structure that entraps sister chromatids to maintain cohesion.,Smc1 is encoded by the *SMC1* gene.; Smc3 is encoded by the *SMC3* gene.; Scc1 (Mcd1) is encoded by the *SCC1* (or *MCD1*) gene.; Scc3 is encoded by the *SCC3* gene.,0.9125
few-shot,Nuclear mitotic cohesin complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans,This complex is crucial for sister chromatid cohesion during cell division;  specifically in mitosis. It ensures that sister chromatids remain paired until they are appropriately separated into daughter cells.,Scc1;  Smc1;  Smc3;  and Scc3.,SCC1;  SMC1;  SMC3;  SCC3',0.9125
contextual,Nuclear mitotic cohesin complex',Saccharomyces cerevisiae',Human;  Drosophila melanogaster;  C. elegans;  Mouse',This protein complex is crucial for maintaining sister chromatid cohesion during mitosis in eukaryotic cells. It ensures accurate chromosome segregation and is involved in DNA repair processes during cell division.',Scc1;  Scc3;  Smc1;  Smc3;  Pds5;  Rad21',SCC1;  SCC3;  SMC1;  SMC3;  PDS5;  RAD21',0.955
zero-shot,Akt-1/Akt-2/Sgk-1 Protein Kinase Complex,C. elegans,The protein complex with similar functionalities is also found in humans;  mice;  and Drosophila melanogaster.,The Akt-1/Akt-2/Sgk-1 protein kinase complex is primarily involved in intracellular signaling pathways that regulate various cellular processes;  such as glucose metabolism;  cell proliferation;  apoptosis;  transcription;  and cell migration. It plays a critical role in response to extracellular stimuli and is pivotal for maintaining cellular integrity and function.,Akt-1; Akt-2; Sgk-1,akt-1; akt-2; sgk-1,0.91
few-shot,Atk-1/Akt-2/Sgk-1 protein kinase complex,C. elegans,Human;  Mouse,This complex is involved in various signaling pathways that regulate critical cellular processes such as metabolism;  growth;  proliferation;  and survival. It functions mainly in response to insulin signaling and can modulate the activity of downstream targets involved in these processes.,Serine/threonine-protein kinase Akt-1;  Serine/threonine-protein kinase Akt-2;  Serum/glucocorticoid-regulated kinase 1,akt-1;  akt-2;  sgk-1,0.9125
contextual,Atk-1/Akt-2/Sgk-1 protein kinase complex,C. elegans,Human;  Mouse,This protein kinase complex is involved in regulating various cellular process including metabolism;  cell proliferation;  survival;  and differentiation. It is a part of the signaling pathways that mediate responses to growth factors and other extracellular stimuli;  particularly important in stress resistance and longevity.,Atk-1;  Akt-2;  Sgk-1,akt-1;  akt-2;  sgk-1,0.925
zero-shot,RB1-E2F1-TFDP1 Transcription Repressor Complex,Human,Mouse (also contains orthologous proteins that form a similar complex),The RB1-E2F1-TFDP1 transcription repressor complex plays a crucial role in regulating the cell cycle;  particularly in controlling the transition from the G1 to S phase. It achieves this by repressing E2F-responsive genes that are essential for DNA replication and cell cycle progression.,RB1 (Retinoblastoma Protein); E2F1 (E2F Transcription Factor 1); TFDP1 (Transcription Factor Dp-1),RB1: Encodes the Retinoblastoma Protein;  crucial for cell cycle regulation.; E2F1: Encodes the E2F Transcription Factor 1;  involved in driving the cell cycle forward by activating certain genes.; TFDP1: Encodes the Transcription Factor Dp-1;  an important partner of E2F1 for DNA binding and regulation.,0.965
few-shot,RB1-E2F1-TFDP1 transcription repressor complex,Human,Mouse,This complex plays a critical role in cell cycle regulation by repressing E2F target gene transcription and thus controlling progression from the G1 to S phase of the cell cycle.,Retinoblastoma-associated protein (RB1);  E2F transcription factor 1 (E2F1);  Transcription factor Dp-1 (TFDP1),RB1;  E2F1;  TFDP1,0.925
contextual,RB1-E2F1-TFDP1 transcription repressor complex,Human,Mouse,This transcription repressor complex plays a crucial role in regulating the cell cycle by inhibiting the transition from the G1 to S phase. It does this by binding to E2F-responsive promoters;  thus controlling the transcription of genes necessary for DNA replication.,Retinoblastoma-associated protein (RB1);  Transcription factor E2F1;  Transcription factor Dp-1 (TFDP1),RB1;  E2F1;  TFDP1,0.955
zero-shot,PETISCO;  pid-1 variant,*Caenorhabditis elegans*,The PETISCO complex is not prominently found in the other specified organisms (Human;  Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae) in relation to the pid-1 variant function.,The PETISCO complex;  specifically the pid-1 variant in *Caenorhabditis elegans*;  is involved in the biogenesis of piRNAs. These small RNAs play a crucial role in silencing transposable elements and maintaining germline integrity.,The main proteins involved in the PETISCO;  pid-1 variant are PID-1;  PRG-1;  and RDE-4.,The corresponding genes for these proteins are pid-1;  prg-1;  and rde-4.,0.91
few-shot,PETISCO;  pid-1 variant',*C. elegans*',N/A',Involved in the biogenesis of small RNAs that protect the germline in *C. elegans*;  by aiding in the processing of primary piRNAs.',PID-1;  TOFU-6;  ERH-2;  TOFU-5',pid-1;  tofu-6;  erh-2;  tofu-5',0.9125
contextual,PETISCO;  pid-1 variant',C. elegans',N/A',The PETISCO complex in C. elegans is critically involved in the biogenesis of small RNAs and plays a key role in gene silencing processes;  particularly relating to the piRNA pathway which is essential for transposon silencing and genome stability.',PID-1;  TOFU-6;  ERH-2;  IFE-3',pid-1;  tofu-6;  erh-2;  ife-3',0.925
zero-shot,PETISCO;  tost-1 variant,C. elegans,The PETISCO complex is also found in humans and mice.,The PETISCO complex is involved in RNA regulation and processing;  specifically in the biogenesis of small RNAs that play a critical role in RNA interference. The tost-1 variant specifically refers to a form of this complex observed in certain genetic studies.,The PETISCO complex in C. elegans includes proteins such as TOFU-6;  ERI-1;  TOST-1;  and SACY-1.,The corresponding genes for these proteins are tofu-6;  eri-1;  tost-1;  and sacy-1 respectively.,0.925
few-shot,PETISCO;  tost-1 variant',C. elegans',N/A',PETISCO is involved in the maturation of small nucleolar RNAs (snoRNAs) and small nuclear RNAs (snRNAs);  playing a critical role in pre-mRNA splicing and RNA interference pathways.',TOFU-6;  PID-3;  ERH-2;  SMN-1;  TOFU-5',tofu-6;  pid-3;  erh-2;  smn-1;  tofu-5',0.9125
contextual,PETISCO;  tost-1 variant,C. elegans,Drosophila melanogaster,The PETISCO complex is a protein assembly involved in the processing of small nuclear RNAs;  playing a crucial role in the biogenesis of spliceosomal small nuclear ribonucleoproteins (snRNPs);  thereby impacting the regulation of pre-mRNA splicing.,TOAST-1;  ERH-2;  ICL-1;  and SMN-1,tost-1;  erh-2;  icl-1;  smn-1,0.8975
zero-shot,Ndc80 complex,Saccharomyces cerevisiae,The Ndc80 complex is also found in Humans (Homo sapiens);  Mice (Mus musculus);  Caenorhabditis elegans;  and Drosophila melanogaster.,The Ndc80 complex is critical for the accurate segregation of chromosomes during mitosis. It acts as a key component of the kinetochore;  a structure on chromosomes where spindle fibers attach during cell division to ensure accurate chromosome alignment and separation.,Ndc80p (Hec1);  Nuf2p;  Spc24p;  Spc25p,The corresponding genes for these proteins in Saccharomyces cerevisiae are NDC80 (Ndc80p);  NUF2 (Nuf2p);  SPC24 (Spc24p);  and SPC25 (Spc25p).,0.97
few-shot,Ndc80 complex',Saccharomyces cerevisiae',Human;  Mouse;  C. elegans;  Drosophila melanogaster',A key component of the kinetochore;  crucial for chromosome segregation during cell division by mediating the attachment of microtubules to kinetochores.',Ndc80p;  Nuf2p;  Spc24p;  Spc25p',NDC80;  NUF2;  SPC24;  SPC25',0.955
contextual,Ndc80 complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The Ndc80 complex is a key kinetochore component involved in the attachment of spindle microtubules to chromosomes during mitosis;  ensuring proper chromosome segregation.,Ndc80p;  Nuf2p;  Spc24p;  Spc25p,NDC80;  NUF2;  SPC24;  SPC25,0.955
zero-shot,Kinetochore Mis12 Complex,Human,Mouse;  Saccharomyces cerevisiae;  Drosophila melanogaster;  C. elegans,The Mis12 complex is integral to the kinetochore;  a protein structure on chromatids where the spindle fibers attach during cell division to pull the chromatids apart. In humans;  the Mis12 complex is essential for accurate chromosome segregation and proper kinetochore assembly. It plays a critical role in linking the inner centromere to the outer kinetochore components and microtubules.,The human Mis12 complex consists of four proteins: MIS12 (from the hMis12 protein);  PMF1 (Partner of Mis12);  NSL1 (Nsl1;  kinetochore complex component);  and DSN1 (Dsn1;  kinetochore complex component).,MIS12: Encodes the MIS12 protein; PMF1: Encodes the PMF1 protein; NSL1: Encodes the NSL1 protein; DSN1: Encodes the DSN1 protein,1.00
few-shot,Kinetochore Mis12 complex,Human,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The Mis12 complex is essential for the proper attachment of microtubules to the kinetochore;  ensuring accurate chromosome segregation during cell division.,MIS12 protein homolog;  Kinetochore associated protein 1;  Kinetochore scaffold 1;  NNF1 homolog,MIS12;  DSN1;  NSL1;  PMF1,0.925
contextual,Kinetochore Mis12 Complex',Human',Mouse;  Drosophila melanogaster;  Caenorhabditis elegans;  Saccharomyces cerevisiae',This complex is essential for proper kinetochore-microtubule attachment;  playing a critical role in chromosome segregation during cell division by serving as a platform for the assembly of other kinetochore components.',MIS12;  NSL1;  DSN1;  PMF1',MIS12;  NSL1;  DSN1;  PMF1',0.94
zero-shot,THO Complex,Saccharomyces cerevisiae,Human;  Drosophila melanogaster;  Mouse,The THO complex is primarily involved in transcription elongation and mRNA processing. It plays a critical role in coupling transcription to mRNA export by forming part of the larger TREX (transcription-export) complex.,Hpr1;  Mft1;  Tho2;  Thp2;  Tex1,HPR1 (YDR138W);  MFT1 (YLR274W);  THO2 (YDL075W);  THP2 (YMR288W);  TEX1 (YIR013C),0.97
few-shot,THO complex,Saccharomyces cerevisiae,Human;  Drosophila melanogaster,The THO complex is involved in the transcriptional elongation and mRNA export processes. It is crucial for proper mRNA metabolism and genomic stability.,Hpr1;  Mft1;  Thp2;  Tex1;  Tho2,HPR1;  MFT1;  THP2;  TEX1;  THO2,0.97
contextual,THO complex',Saccharomyces cerevisiae',Human;  Drosophila melanogaster;  Mouse',The THO complex is involved in the coupling of transcription and mRNA export. It plays a critical role in genome stability and the regulation of splicing.',Hpr1;  Mft1;  Thp2;  Tex1;  Tho2 (also known as Ypr165w)',HPR1;  MFT1;  THP2;  TEX1;  THO2',0.925
zero-shot,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae,None,This complex is involved in the endosomal transport process;  mediating the fusion of vesicles with target membranes;  specifically in sorting and trafficking within the endosomal system.,TLG2;  VTI1;  TLG1;  SNC2,TLG2 (TLG2 gene); VTI1 (VTI1 gene); TLG1 (TLG1 gene); SNC2 (SNC2 gene),0.97
few-shot,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae,N/A,Involved in the regulation of vesicular trafficking processes within the cell;  particularly in endosomal and vacuolar fusion.,Tlg2p;  Vti1p;  Tlg1p;  Snc2p,TLG2;  VTI1;  TLG1;  SNC2,0.925
contextual,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2',Saccharomyces cerevisiae',N/A',This SNARE complex is involved in vesicle-mediated transport. It facilitates the fusion of vesicles with target membranes within the endosomal system;  playing a crucial role in membrane trafficking processes.',TLG2 (t-SNARE UBL1);  VTI1 (VPS10-interacting protein);  TLG1 (Golgi t-SNARE);  SNC2 (synaptobrevin homolog)',TLG2;  VTI1;  TLG1;  SNC2',0.925
zero-shot,Ste12/Dig1/Dig2 transcription regulation complex,Saccharomyces cerevisiae,The Ste12/Dig1/Dig2 transcription regulation complex is specific to Saccharomyces cerevisiae and does not have homologous complexes reported in Humans;  Mouse;  C. elegans;  or Drosophila melanogaster.,The Ste12/Dig1/Dig2 transcription regulation complex is involved in the regulation of gene expression related to mating and invasive growth pathways in response to external signals in Saccharomyces cerevisiae. This complex functions predominantly by modulating the activity of the transcription factor Ste12;  which plays a critical role in the mating pheromone response pathway. Dig1 and Dig2 act as negative regulators by binding to Ste12 and inhibiting its activity in the absence of pheromone signaling.,Ste12;  Dig1;  Dig2,STE12;  DIG1;  DIG2,1.00
few-shot,Ste12/Dig1/Dig2 Transcription Regulation Complex,Saccharomyces cerevisiae,N/A,Regulates transcription of pheromone-responsive genes;  primarily involved in the mating response pathway.,Ste12;  Dig1;  Dig2,STE12;  DIG1;  DIG2,0.9125
contextual,Ste12/Dig1/Dig2 transcription regulation complex',Saccharomyces cerevisiae',N/A',This complex is involved in transcription regulation;  specifically as a key component in the pheromone response pathway and filamentous growth in yeast. It controls the transcription of genes essential for mating and filamentation by modulating transcription factor activity.',Ste12;  Dig1;  Dig2',STE12;  DIG1;  DIG2',0.925
zero-shot,TRAPP II complex,Saccharomyces cerevisiae,Human;  Mouse,The TRAPP II complex is involved in the regulation of vesicle trafficking specifically in the Golgi apparatus;  where it facilitates the trafficking of vesicles from the early endosome to the late Golgi compartments. It is crucial for Golgi membrane dynamics and protein glycosylation processes.,The TRAPP II complex in Saccharomyces cerevisiae consists of multiple subunits including Trs33;  Trs85;  Trs120;  Trs130;  Bet5;  Bet3;  Trs31;  and Trs23.,The corresponding genes for these proteins in Saccharomyces cerevisiae are TRS33;  TRS85;  TRS120;  TRS130;  BET5;  BET3;  TRS31;  and TRS23.,0.94
few-shot,TRAPP II Complex,Saccharomyces cerevisiae,Human;  Mouse,TRAPP II complex is involved in tethering transport vesicles to the Golgi apparatus;  playing a critical role in vesicular trafficking within cells.,Trs120;  Trs130;  Trs85;  Trs65;  Trs33;  Trs31;  Trs23;  Trs20;  Bet5,TRS120;  TRS130;  TRS85;  TRS65;  TRS33;  TRS31;  TRS23;  TRS20;  BET5,0.8975
contextual,TRAPP II complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster,The TRAPP II complex is involved in tethering transport vesicles to the Golgi apparatus;  playing a critical role in membrane trafficking. It specifically facilitates intra-Golgi transport and endosome-to-Golgi trafficking;  acting as a guanine nucleotide exchange factor (GEF) for Rab GTPases.,Trs130;  Trs120;  Trs65;  Trs33;  Trs31;  Bet3;  Bet5;  Trs23;  Trs20;  Trs85,TRS130;  TRS120;  TRS65;  TRS33;  TRS31;  BET3;  BET5;  TRS23;  TRS20;  TRS85,0.925
zero-shot,Cerebral Cavernous Malformation (CCM) Complex,Human,Mouse,The CCM complex is primarily involved in maintaining the integrity of blood vessels;  particularly in the brain. It regulates endothelial cell junctions;  vascular integrity;  and angiogenesis. Mutations in components of this complex can lead to cerebral cavernous malformations;  which are vascular anomalies in the central nervous system.,The CCM complex consists of three core proteins: KRIT1;  CCM2 (also known as Malcavernin);  and CCM3 (also known as PDCD10). These proteins form a multi-protein scaffold that facilitates protein interactions critical for blood vessel formation and stability.,KRIT1 is encoded by the KRIT1 gene.; CCM2 is encoded by the CCM2 gene.; CCM3 is encoded by the PDCD10 gene.,1.00
few-shot,CCM complex,Human,Mouse,The CCM complex;  or cerebral cavernous malformations complex;  plays a critical role in maintaining vascular integrity in the brain and preventing the formation of vascular malformations.,KRIT1;  CCM2;  Programmed cell death protein 10,KRIT1;  CCM2;  PDCD10,0.94
contextual,CCM complex',Human',Mouse;  Drosophila melanogaster',The Cerebral Cavernous Malformation (CCM) complex plays a crucial role in maintaining endothelial cell-cell junctions and vascular integrity.',CCM1 (KRIT1);  CCM2 (Malcavernin or OSM);  CCM3 (PDCD10)',KRIT1;  CCM2;  PDCD10',0.9125
zero-shot,mu-Calpain complex,Human,Mouse;  C. elegans;  Drosophila melanogaster,The mu-Calpain complex is a calcium-dependent cysteine protease involved in various cellular processes;  including cytoskeletal remodeling;  signal transduction;  and apoptosis. It plays a critical role in processes such as muscle function;  cell motility;  and cell cycle progression.,The mu-Calpain complex in humans is composed of two subunits: a large catalytic subunit and a small regulatory subunit. The large catalytic subunit is known as calpain-1 (CAPN1);  and the small regulatory subunit is known as calpain small subunit 1 (CAPNS1).,The large catalytic subunit (calpain-1) is encoded by the gene CAPN1.; The small regulatory subunit (calpain small subunit 1) is encoded by the gene CAPNS1.,0.9475
few-shot,mu-Calpain complex',Human',Mouse;  Drosophila melanogaster',mu-Calpain is a calcium-dependent cysteine protease involved in a variety of cellular processes;  including cytoskeletal remodeling;  cell cycle progression;  and signal transduction.',Calpain-1 catalytic subunit;  Calpain-1 regulatory subunit',CAPN1;  CAPNS1',0.925
contextual,mu-Calpain complex',Human',Mouse;  C. elegans;  Drosophila melanogaster',mu-Calpain is a calcium-dependent cysteine protease involved in remodeling the cytoskeleton and processing various cellular substrates. It plays roles in cellular motility;  signal transduction;  and apoptosis.',Calpain-1 catalytic subunit (CAPN1);  Calpain small subunit 1 (CAPNS1)',CAPN1;  CAPNS1',0.925
zero-shot,GINS Complex,Saccharomyces cerevisiae,Humans;  Mouse;  C. elegans;  Drosophila melanogaster,The GINS complex is essential for the initiation and progression of DNA replication;  acting as a key component of the eukaryotic replicative helicase complex. It ensures the unwinding of DNA strands by facilitating the activity of DNA polymerase and other associated replication factors during the S phase of the cell cycle.,Psf1;  Psf2;  Psf3;  Sld5,PSF1 (YJL173C);  PSF2 (YER176W);  PSF3 (YMR032W);  SLD5 (YDR489W),0.985
few-shot,GINS Complex',Saccharomyces cerevisiae',Human;  Mouse;  C. elegans;  Drosophila melanogaster',The GINS complex is essential for the initiation of DNA replication and progression of the DNA replication fork. It is a key component of the replisome;  interacting with other replication factors to ensure genome stability.',Psf1;  Psf2;  Psf3;  Sld5',PSF1;  PSF2;  PSF3;  SLD5',0.955
contextual,GINS complex',Saccharomyces cerevisiae',Human;  Mouse;  Drosophila melanogaster;  C. elegans',The GINS complex is essential for the initiation and elongation phases of DNA replication. It functions as a part of the DNA helicase complex that unwinds DNA during replication.',Sld5;  Psf1;  Psf2;  Psf3',SLD5;  PSF1;  PSF2;  PSF3',0.955
zero-shot,CMG helicase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The CMG helicase complex is essential for DNA replication initiation and elongation. It unwinds the DNA double helix at the replication fork;  allowing for the progression of DNA polymerases.,The CMG complex is composed of Cdc45;  Mcm2-7;  and GINS proteins. Specifically in Saccharomyces cerevisiae;  the proteins are Cdc45p;  Mcm2p;  Mcm3p;  Mcm4p;  Mcm5p;  Mcm6p;  Mcm7p;  Psf1p (Sld5);  Psf2p;  and Psf3p.,CDC45;  MCM2;  MCM3;  MCM4;  MCM5;  MCM6;  MCM7;  PSF1;  PSF2;  PSF3,0.965
few-shot,CMG helicase complex',Saccharomyces cerevisiae',Human;  Mouse;  C. elegans;  Drosophila melanogaster',The CMG helicase complex is essential for the unwinding of double-stranded DNA;  facilitating DNA replication during the S phase of the cell cycle.',Cdc45;  Mcm2-7;  GINS components',CDC45;  MCM2;  MCM3;  MCM4;  MCM5;  MCM6;  MCM7;  SLD5;  PSF1;  PSF2;  PSF3',0.94
contextual,CMG helicase complex',Saccharomyces cerevisiae',Human;  Mouse;  Drosophila melanogaster;  C. elegans',The CMG helicase complex is essential for DNA replication initiation and elongation;  unwinding double-stranded DNA at the replication fork;  allowing replication machinery access to the DNA strands.',Cdc45;  Mcm2;  Mcm3;  Mcm4;  Mcm5;  Mcm6;  Mcm7;  GINS complex subunits Sld5;  Psf1;  Psf2;  Psf3',CDC45;  MCM2;  MCM3;  MCM4;  MCM5;  MCM6;  MCM7;  SLD5;  PSF1;  PSF2;  PSF3',0.955
zero-shot,20S mitochondrial small ribosomal subunit,Saccharomyces cerevisiae,The 20S mitochondrial small ribosomal subunit is also found in humans (Homo sapiens);  mice (Mus musculus);  Caenorhabditis elegans (C. elegans);  and Drosophila melanogaster.,The 20S mitochondrial small ribosomal subunit is responsible for translating mitochondrially encoded proteins that are crucial for oxidative phosphorylation. It plays a vital role in mitochondrial protein synthesis and maintaining mitochondrial function.,The Saccharomyces cerevisiae 20S mitochondrial small ribosomal subunit includes various proteins such as Mrp1;  Mrp10;  Mrp17;  Mrp20;  Mrp21;  Mrp49;  Rsm10;  Rsm22;  Rsm24;  and others specific to yeast.,Corresponding genes for Saccharomyces cerevisiae include MRP1;  MRP10;  MRP17;  MRP20;  MRP21;  MRP49;  RSM10;  RSM22;  RSM24;  among others.,0.935
few-shot,20S mitochondrial small ribosomal subunit',Saccharomyces cerevisiae',Human;  Mouse',This ribosomal subunit is responsible for protein synthesis within the mitochondria;  playing a crucial role in the translation of mitochondrial mRNAs and in the overall mitochondrial protein production.',The 20S mitochondrial small ribosomal subunit is composed of numerous proteins including Mrps5;  Mrps6;  Mrps7;  Mrps8;  Mrps9;  among others.',MRPS5;  MRPS6;  MRPS7;  MRPS8;  MRPS9',0.9125
