Model,Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
claude-3-opus,few-shot,ZFP-1(AF10)/DOT-1 complex,Caenorhabditis elegans (C. elegans),N/A,The ZFP-1(AF10)/DOT-1 complex is involved in histone H3K79 methylation and plays a role in transcriptional regulation and embryonic development.,Zinc finger protein 1 (ZFP-1);  Histone methyltransferase DOT-1,zfp-1;  dot-1,0.925
claude-3-opus,contextual,ZFP-1(AF10)/DOT-1 complex,C. elegans,N/A,This complex is involved in histone H3K79 methylation;  which is associated with active transcription. ZFP-1 physically interacts with and recruits DOT-1.1 to chromatin;  enabling H3K79 methylation and promoting RNA polymerase II transcriptional elongation.,Zinc finger protein 1;  Histone-lysine N-methyltransferase;  H3 lysine-79 specific,zfp-1;  dot-1.1,0.925
claude-3-opus,zero-shot,CED-3-CED-4-MAC-1 complex,Caenorhabditis elegans (C. elegans),Not applicable;  as this specific complex is only found in C. elegans.,The CED-3-CED-4-MAC-1 complex is involved in the regulation of apoptosis (programmed cell death) in C. elegans. CED-4 acts as an activator of CED-3;  which is a caspase that executes apoptosis. MAC-1 is a negative regulator of the complex;  inhibiting apoptosis by sequestering CED-4.,CED-3 (CEll Death abnormality 3); CED-4 (CEll Death abnormality 4); MAC-1 (Metalloprotease And Cysteine protease 1),ced-3; ced-4; mac-1,0.95
claude-3-opus,few-shot,CED-3-CED-4-MAC-1 complex,C. elegans,N/A,The CED-3-CED-4-MAC-1 complex is a key regulator of programmed cell death (apoptosis) in C. elegans. CED-3 is a caspase that executes apoptosis;  while CED-4 acts as an activator of CED-3. MAC-1 is a negative regulator of the complex;  preventing inappropriate activation of apoptosis.,Cell death protein 3;  Cell death protein 4;  MAC-1,ced-3;  ced-4;  mac-1,0.97
claude-3-opus,contextual,CED-3-CED-4-MAC-1 complex,C. elegans,N/A,This complex is involved in the initiation of apoptosis (programmed cell death). CED-3 is a caspase that cleaves cellular substrates;  leading to cell death. CED-4 activates CED-3;  while MAC-1 inhibits the activation of CED-3 by CED-4.,Cell death protein 3 (CED-3);  Cell death protein 4 (CED-4);  Apoptosis regulator mac-1,ced-3;  ced-4;  mac-1,0.94
claude-3-opus,zero-shot,Nuclear mitotic cohesin complex,Saccharomyces cerevisiae (budding yeast),The cohesin complex is conserved across eukaryotes;  including Humans;  Mice;  C. elegans;  and Drosophila melanogaster.,The nuclear mitotic cohesin complex is responsible for holding sister chromatids together during mitosis;  ensuring accurate chromosome segregation. It also plays a role in DNA repair and gene regulation.,Smc1; Smc3; Scc1 (also known as Mcd1); Scc3,SMC1; SMC3; SCC1 (MCD1); SCC3,0.89
claude-3-opus,few-shot,Nuclear mitotic cohesin complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster,The nuclear mitotic cohesin complex is essential for the cohesion of sister chromatids during mitosis and meiosis. It holds the sister chromatids together from the time of DNA replication until their separation at anaphase;  ensuring accurate chromosome segregation.,Sister chromatid cohesion protein 1;  Sister chromatid cohesion protein 3;  Structural maintenance of chromosomes protein 1;  Structural maintenance of chromosomes protein 3,SCC1;  SCC3;  SMC1;  SMC3,0.94
claude-3-opus,contextual,Nuclear mitotic cohesin complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster,The nuclear mitotic cohesin complex is responsible for holding sister chromatids together during mitosis and meiosis;  ensuring proper chromosome segregation and preventing aneuploidy. It also plays a role in DNA repair and transcriptional regulation.,Sister chromatid cohesion protein 1;  Sister chromatid cohesion protein 3;  Structural maintenance of chromosomes protein 1;  Structural maintenance of chromosomes protein 3,SCC1/MCD1;  SCC3;  SMC1;  SMC3,0.925
claude-3-opus,zero-shot,Akt-1/Akt-2/Sgk-1 protein kinase complex,Caenorhabditis elegans (C. elegans),The individual components of the complex (Akt and Sgk) are conserved in other organisms;  including humans;  mice;  Drosophila melanogaster;  and Saccharomyces cerevisiae. However;  the specific complex composition and functions may vary among these organisms.,The Akt-1/Akt-2/Sgk-1 protein kinase complex is involved in the insulin/insulin-like growth factor 1 signaling (IIS) pathway;  regulating processes such as stress resistance;  longevity;  and dauer formation in C. elegans. The complex acts downstream of the insulin receptor DAF-2 and the phosphatidylinositol 3-kinase AGE-1;  promoting growth and inhibiting the activity of the FOXO transcription factor DAF-16.,Akt-1 (RAC-alpha serine/threonine-protein kinase); Akt-2 (RAC-beta serine/threonine-protein kinase); Sgk-1 (Serine/threonine-protein kinase Sgk-1),akt-1; akt-2; sgk-1,0.89
claude-3-opus,few-shot,Atk-1/Akt-2/Sgk-1 protein kinase complex,Caenorhabditis elegans (C. elegans),N/A,The Atk-1/Akt-2/Sgk-1 protein kinase complex is involved in the insulin/insulin-like growth factor 1 (IGF-1) signaling pathway;  regulating various cellular processes such as metabolism;  growth;  and stress resistance.,AKT-1;  AKT-2;  SGK-1,akt-1;  akt-2;  sgk-1,0.91
claude-3-opus,contextual,Atk-1/Akt-2/Sgk-1 protein kinase complex,C. elegans,N/A,This complex is involved in the insulin/insulin-like growth factor 1 (IGF-1) signaling pathway;  regulating processes such as metabolism;  growth;  development;  and longevity in response to nutrient availability.,Serine/threonine-protein kinase akt-1;  Serine/threonine-protein kinase akt-2;  Serine/threonine-protein kinase sgk-1,akt-1;  akt-2;  sgk-1,0.925
claude-3-opus,zero-shot,RB1-E2F1-TFDP1 transcription repressor complex,Human (Homo sapiens),Mouse (Mus musculus),The RB1-E2F1-TFDP1 transcription repressor complex plays a crucial role in regulating the cell cycle progression from G1 to S phase. The complex binds to promoters of E2F target genes and represses their transcription;  preventing cell cycle entry and maintaining cells in a quiescent state.,RB1 (Retinoblastoma-associated protein 1); E2F1 (Transcription factor E2F1); TFDP1 (Transcription factor Dp-1),RB1; E2F1; TFDP1,1.00
claude-3-opus,few-shot,RB1-E2F1-TFDP1 transcription repressor complex,Human,N/A,This complex acts as a transcriptional repressor that regulates cell cycle progression;  particularly at the G1/S transition. It suppresses the transcription of genes required for DNA synthesis and cell cycle progression;  thereby maintaining cells in a quiescent state.,Retinoblastoma-associated protein (RB1);  Transcription factor E2F1;  Transcription factor Dp-1 (TFDP1),RB1;  E2F1;  TFDP1,0.97
claude-3-opus,contextual,RB1-E2F1-TFDP1 transcription repressor complex,Human,Mouse,This complex acts as a transcriptional repressor that regulates the G1/S transition of the cell cycle. The RB1 protein binds to E2F1 and TFDP1;  preventing the transcription of genes required for cell cycle progression;  thus maintaining the cell in a quiescent state.,Retinoblastoma-associated protein (RB1);  Transcription factor E2F1 (E2F1);  Transcription factor Dp-1 (TFDP1),RB1;  E2F1;  TFDP1,0.955
claude-3-opus,zero-shot,PETISCO;  pid-1 variant,Caenorhabditis elegans (C. elegans),The PETISCO complex is also found in humans and mice;  but the specific pid-1 variant is unique to C. elegans.,The PETISCO;  pid-1 variant complex is involved in regulating the 26S proteasome;  which is responsible for the degradation of ubiquitinated proteins in the cell. It plays a role in modulating the activity and assembly of the 26S proteasome.,PID-1;  RPT-1;  RPT-2;  RPT-3;  RPT-4;  RPT-5;  RPT-6,pid-1;  rpt-1;  rpt-2;  rpt-3;  rpt-4;  rpt-5;  rpt-6,0.825
claude-3-opus,few-shot,PETISCO;  pid-1 variant,C. elegans,N/A,The PETISCO complex;  pid-1 variant;  is involved in the 21U small RNA pathway in the germline;  which is essential for fertility and embryonic viability. It is required for the biogenesis and stability of 21U-RNAs;  a class of small non-coding RNAs that bind to the PRG-1 Piwi protein and function in transposon silencing and regulation of germline gene expression.,PID-1;  PID-3;  TOFU-6;  ERH-2,pid-1;  pid-3;  tofu-6;  erh-2,0.91
claude-3-opus,contextual,PETISCO;  pid-1 variant,C. elegans,N/A,The PETISCO complex;  pid-1 variant;  is involved in the formation of P granules;  which are membraneless organelles specific to the germline of C. elegans. P granules are essential for fertility and play a role in post-transcriptional regulation of maternal mRNAs.,PID-1;  ERH-2;  TOFU-6;  PID-3,pid-1;  erh-2;  tofu-6;  pid-3,0.91
claude-3-opus,zero-shot,PETISCO;  tost-1 variant,Caenorhabditis elegans (C. elegans),Not applicable;  as PETISCO is specific to C. elegans.,PETISCO;  tost-1 variant;  is involved in small RNA pathways;  specifically in the biogenesis of secondary small interfering RNAs (siRNAs) that regulate gene expression and protect against transposon activity.,TOST-1 (Twenty-One Suppressor of Transposon-1);  ERI-5 (Enhanced RNAi-5);  TOFU-6 (Twenty-One u-rna biogenesis Factor-6);  ERI-3 (Enhanced RNAi-3),tost-1;  eri-5;  tofu-6;  eri-3,0.825
claude-3-opus,few-shot,PETISCO;  tost-1 variant,Caenorhabditis elegans,N/A,The PETISCO complex (Protein Expression and Translation In Spermatogenesis COmplex) is involved in translational regulation during spermatogenesis;  specifically promoting the translation of spermatogenesis-specific mRNAs.,TOFU-6;  TOST-1,tofu-6;  tost-1,0.88
claude-3-opus,contextual,PETISCO;  tost-1 variant,Caenorhabditis elegans,N/A,PETISCO (PEptidyl TRna Slow COdons) is a regulatory complex that stalls ribosomes at non-optimal codons found in the first 5-10 codons during mRNA translation;  enabling regulation of gene expression.,SAPA-1;  SAPA-2;  SAPA-3;  SAPA-4;  TOST-1,sapa-1;  sapa-2;  sapa-3;  sapa-4;  tost-1,0.91
claude-3-opus,zero-shot,Ndc80 complex,Saccharomyces cerevisiae (budding yeast),The Ndc80 complex is conserved across eukaryotes;  including Humans;  Mice;  C. elegans;  and Drosophila melanogaster.,The Ndc80 complex is a key component of the kinetochore;  which plays a crucial role in chromosome segregation during mitosis and meiosis. It is involved in the attachment of microtubules to the kinetochore and the regulation of chromosome movement during cell division.,The Ndc80 complex in Saccharomyces cerevisiae consists of four proteins:,The corresponding genes for the proteins in the Ndc80 complex in Saccharomyces cerevisiae are:,1.00
claude-3-opus,few-shot,Ndc80 complex,Saccharomyces cerevisiae (budding yeast),Human;  Mouse;  C. elegans;  Drosophila melanogaster,The Ndc80 complex is a key component of the kinetochore;  which is essential for proper chromosome segregation during cell division. It plays a crucial role in microtubule attachment to the kinetochore and is involved in the spindle assembly checkpoint.,Ndc80p;  Nuf2p;  Spc24p;  Spc25p,NDC80;  NUF2;  SPC24;  SPC25,0.97
claude-3-opus,contextual,Ndc80 complex,Saccharomyces cerevisiae (budding yeast),Human;  Mouse;  C. elegans;  Drosophila melanogaster,The Ndc80 complex is a key component of the kinetochore;  which is essential for proper chromosome segregation during cell division. It forms attachments between the kinetochore and spindle microtubules;  and plays a role in the spindle assembly checkpoint.,Ndc80p;  Nuf2p;  Spc24p;  Spc25p,NDC80;  NUF2;  SPC24;  SPC25,0.97
claude-3-opus,zero-shot,Kinetochore Mis12 complex,Human (Homo sapiens),The Mis12 complex is conserved across many eukaryotic species;  including Mouse (Mus musculus);  Drosophila melanogaster;  Caenorhabditis elegans;  and Saccharomyces cerevisiae.,The Mis12 complex is a key component of the kinetochore;  a protein structure that assembles on centromeres and links chromosomes to microtubules of the mitotic spindle during cell division. It plays a crucial role in chromosome alignment and segregation by facilitating proper kinetochore-microtubule attachments and spindle assembly checkpoint signaling.,In humans;  the Mis12 complex consists of four subunits:,The corresponding genes for the human Mis12 complex proteins are:,1.00
claude-3-opus,few-shot,Kinetochore Mis12 complex,Human,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The Mis12 complex is a key component of the kinetochore;  a protein complex that assembles on the centromere and links the chromosome to microtubule polymers from the mitotic spindle during cell division. It plays a central role in chromosome segregation and proper attachment of microtubules to the kinetochore.,Mis12;  PMF1;  NSL1;  DSN1,MIS12;  PMF1;  NSL1;  DSN1,0.94
claude-3-opus,contextual,Kinetochore Mis12 complex,Human,Mouse;  Drosophila melanogaster,The Mis12 complex is a key component of the kinetochore;  a protein structure that assembles on the centromere and links the chromosome to microtubule polymers from the mitotic spindle during cell division. It is essential for proper chromosome alignment and segregation during mitosis and meiosis.,Mis12;  Dsn1;  Nsl1;  Pmf1,MIS12;  DSN1;  NSL1;  PMF1,0.97
claude-3-opus,zero-shot,THO complex,Saccharomyces cerevisiae (budding yeast),The THO complex is conserved in other eukaryotes;  including Drosophila melanogaster and humans. However;  the composition and nomenclature of the complex subunits may vary between organisms.,The THO complex is involved in the coupling of transcription and mRNA export. It is part of the transcription export (TREX) complex;  which facilitates the recruitment of export factors to nascent mRNA during transcription elongation. The THO complex is essential for the efficient export of mRNA from the nucleus to the cytoplasm.,Hpr1;  Tho2;  Mft1;  Thp2,HPR1;  THO2;  MFT1;  THP2,0.8875
claude-3-opus,few-shot,THO complex,Saccharomyces cerevisiae (budding yeast),Human;  Drosophila melanogaster,The THO complex is involved in mRNA processing;  export;  and quality control. It is part of the TREX (TRanscription-EXport) complex that couples transcription with mRNA export and mRNA processing. The THO complex functions in the formation of export-competent mRNP particles;  transcription elongation;  and prevention of transcription-associated recombination.,Hpr1;  Tho2;  Mft1;  Thp2,HPR1;  THO2;  MFT1;  THP2,0.94
claude-3-opus,contextual,THO complex,Saccharomyces cerevisiae (budding yeast),The THO complex is conserved in other eukaryotes;  including Drosophila melanogaster and humans;  although the exact composition may vary.,The THO complex is involved in mRNA processing;  transcription elongation;  and mRNA export from the nucleus. It is part of the TREX (transcription-export) complex;  which couples transcription with mRNA export and plays a role in the prevention of RNA-mediated genome instability.,Hpr1p;  Tho2p;  Mft1p;  Thp2p,HPR1;  THO2;  MFT1;  THP2,0.955
claude-3-opus,zero-shot,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae (budding yeast),Not applicable,The Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2 is involved in the fusion of endosome-derived vesicles with the late Golgi compartment in the endocytic pathway. It plays a role in the retrieval of proteins from the endosome to the trans-Golgi network.,TLG2 (t-SNARE);  VTI1 (v-SNARE);  TLG1 (t-SNARE);  SNC2 (v-SNARE),TLG2;  VTI1;  TLG1;  SNC2,0.815
claude-3-opus,few-shot,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae,N/A,Involved in the fusion of vesicles with the late Golgi complex and endosomes;  mediating the delivery of endocytosed and newly synthesized proteins to the vacuole.,TLG2 (Target of myb protein 2);  VTI1 (Vps10 interacting protein 1);  TLG1 (Target of myb protein 1);  SNC2 (Suppressor of the null allele of CAP 2),TLG2;  VTI1;  TLG1;  SNC2,0.91
claude-3-opus,contextual,Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,Saccharomyces cerevisiae (budding yeast),N/A,This SNARE complex is involved in the fusion of endosome-derived vesicles with the late Golgi compartment;  mediating the retrieval of proteins from the endosome to the trans-Golgi network (TGN).,Tlg2p;  Vti1p;  Tlg1p;  Snc2p,TLG2;  VTI1;  TLG1;  SNC2,0.94
claude-3-opus,zero-shot,Ste12/Dig1/Dig2 transcription regulation complex,Saccharomyces cerevisiae (budding yeast),Not applicable,The Ste12/Dig1/Dig2 complex is involved in the regulation of mating-specific genes and invasive growth response in yeast. Ste12 is a transcription factor that activates mating genes;  while Dig1 and Dig2 are inhibitors that bind to Ste12 and repress its activity in the absence of mating pheromone stimulation.,Ste12;  Dig1 (Down-regulator of Invasive Growth 1);  Dig2 (Down-regulator of Invasive Growth 2),STE12;  DIG1;  DIG2,0.97
claude-3-opus,few-shot,Ste12/Dig1/Dig2 transcription regulation complex,Saccharomyces cerevisiae,N/A,Regulation of mating-specific genes and invasive growth response. Ste12 activates genes involved in mating or pseudohyphal/invasive growth pathways. Dig1 and Dig2 bind to Ste12 and repress its ability to activate transcription.,Dig1p;  Dig2p;  Ste12p,DIG1;  DIG2;  STE12,0.94
claude-3-opus,contextual,Ste12/Dig1/Dig2 transcription regulation complex,Saccharomyces cerevisiae,N/A,Regulates mating-specific genes and invasive growth response genes in response to MAPK signaling cascades. Ste12 activates transcription;  while Dig1 and Dig2 inhibit Ste12 activity in the absence of stimulus.,Pheromone receptor transcription factor Ste12;  Down-regulator of invasive growth 1;  Down-regulator of invasive growth 2,STE12;  DIG1;  DIG2,0.97
claude-3-opus,zero-shot,TRAPP II complex,Saccharomyces cerevisiae (budding yeast),The TRAPP II complex is conserved in other eukaryotes;  including Homo sapiens (humans);  Mus musculus (mouse);  Caenorhabditis elegans;  and Drosophila melanogaster.,The TRAPP II complex is involved in intra-Golgi and endosome-to-Golgi vesicle trafficking;  as well as in autophagy regulation. It acts as a guanine nucleotide exchange factor (GEF) for the GTPase Ypt1p;  which is essential for vesicle tethering during trafficking.,Trs120p;  Trs130p;  Trs20p;  Trs23p;  Trs31p;  Trs33p;  Bet3p;  Bet5p;  Tca17p;  Trs65p,TRS120;  TRS130;  TRS20;  TRS23;  TRS31;  TRS33;  BET3;  BET5;  TCA17;  TRS65,0.8875
claude-3-opus,few-shot,TRAPP II complex,Saccharomyces cerevisiae (budding yeast),Human;  Mouse;  Drosophila melanogaster,TRAPP II complex is a multisubunit tethering complex that functions in intra-Golgi and endosome-to-Golgi transport. It is involved in the regulation of ER-to-Golgi transport and autophagy.,Transport protein particle 120 kDa subunit (Trs120);  Transport protein particle 130 kDa subunit (Trs130);  Transport protein particle 65 kDa subunit (Trs65);  Transport protein particle 20 kDa subunit (Trs20);  Transport protein particle 23 kDa subunit (Trs23);  Transport protein particle 31 kDa subunit (Trs31);  Transport protein particle 33 kDa subunit (Trs33);  Transport protein particle 85 kDa subunit (Trs85),TRS120;  TRS130;  TRS65;  TRS20;  TRS23;  TRS31;  TRS33;  TRS85,0.925
claude-3-opus,contextual,TRAPP II complex,Saccharomyces cerevisiae (budding yeast),N/A,The TRAPP II complex is a multi-subunit tethering complex that functions as a guanine nucleotide exchange factor (GEF) for the GTPase Ypt1p;  promoting ER-to-Golgi and intra-Golgi trafficking. It is also involved in autophagy and the CVT pathway.,Trafficking protein particle complex subunit BET3;  Trafficking protein particle complex subunit BET5;  Trafficking protein particle complex subunit TRS120;  Trafficking protein particle complex subunit TRS130;  Trafficking protein particle complex subunit TRS20;  Trafficking protein particle complex subunit TRS23;  Trafficking protein particle complex subunit TRS31;  Trafficking protein particle complex subunit TRS33;  Trafficking protein particle complex subunit TCA17,BET3;  BET5;  TRS120;  TRS130;  TRS20;  TRS23;  TRS31;  TRS33;  TCA17,0.955
claude-3-opus,zero-shot,CCM complex,Human,Mouse,The CCM complex is involved in the regulation of endothelial cell junctions;  vascular development;  and barrier function. It plays a crucial role in the formation and maintenance of the cerebral cavernous malformations;  which are vascular lesions in the brain that can lead to hemorrhagic stroke and neurological deficits.,CCM1 (KRIT1);  CCM2 (Malcavernin);  CCM3 (PDCD10),KRIT1;  CCM2;  PDCD10,0.91
claude-3-opus,few-shot,CCM complex,Human,Mouse,The CCM complex is involved in cardiovascular development and maintaining the integrity of blood vessels. It plays a role in cell-cell junctions;  cell polarity;  and vascular development. Mutations in the genes encoding the CCM complex proteins can lead to cerebral cavernous malformations;  characterized by abnormally dilated blood vessels in the brain.,Cerebral cavernous malformations 1 protein (CCM1;  also known as KRIT1); Malcavernin (CCM2;  also known as OSM); Cerebral cavernous malformations 3 protein (CCM3;  also known as PDCD10),KRIT1 (CCM1); CCM2; PDCD10 (CCM3),0.94
claude-3-opus,contextual,CCM complex,Human,Mouse,Involved in the formation and maintenance of cerebral cavernous malformations (CCMs);  which are dilated capillary-like channels in the brain that can lead to seizures;  focal neurological deficits;  and fatal intracerebral hemorrhages.,Krev interaction trapped protein 1 (KRIT1);  Malcavernin (CCM2);  Programmed cell death 10 (PDCD10),KRIT1 (CCM1);  CCM2;  PDCD10 (CCM3),0.955
claude-3-opus,zero-shot,mu-Calpain complex,Human (Homo sapiens),Mouse (Mus musculus),mu-Calpain complex is a calcium-dependent cysteine protease that plays a role in various cellular processes such as cell migration;  cell cycle progression;  and apoptosis. It is involved in the limited proteolysis of substrates;  which can modulate their function.,Calpain-1 catalytic subunit (CAPN1); Calpain small subunit 1 (CAPNS1),CAPN1; CAPNS1,0.89
claude-3-opus,few-shot,mu-Calpain complex,Human,Mouse,Calcium-activated neutral protease involved in cytoskeletal remodeling;  cell differentiation;  apoptosis;  and signal transduction. It cleaves substrates involved in cytoskeletal remodeling and signal transduction.,Calpain-1 catalytic subunit;  Calpain small subunit 1,CAPN1;  CAPNS1,0.94
claude-3-opus,contextual,mu-Calpain complex,Human,Mouse,mu-Calpain is a calcium-activated neutral protease that plays a role in cytoskeletal remodeling;  cell adhesion;  and cell migration. It is involved in the regulation of various cellular processes;  including signal transduction;  cell cycle progression;  and apoptosis.,Calpain-1 catalytic subunit;  Calpain small subunit 1,CAPN1;  CAPNS1,0.94
claude-3-opus,zero-shot,GINS complex,Saccharomyces cerevisiae (budding yeast),The GINS complex is conserved across eukaryotes;  including Humans;  Mice;  C. elegans;  and Drosophila melanogaster.,The GINS complex is a key component of the eukaryotic replicative helicase CMG (Cdc45-MCM-GINS) complex. It plays a crucial role in the initiation and elongation stages of DNA replication by facilitating the unwinding of DNA and the progression of the replication fork.,The GINS complex in Saccharomyces cerevisiae consists of four subunits: Sld5;  Psf1;  Psf2;  and Psf3.,The corresponding genes for the GINS complex subunits in Saccharomyces cerevisiae are:,1.00
claude-3-opus,few-shot,GINS complex,Human,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae,The GINS complex is essential for the initiation and elongation stages of eukaryotic DNA replication. It is a key component of the CMG (Cdc45-MCM-GINS) complex;  which functions as the replicative helicase;  unwinding DNA ahead of the replication fork.,DNA replication complex GINS protein PSF1;  DNA replication complex GINS protein PSF2;  DNA replication complex GINS protein PSF3;  DNA replication complex GINS protein SLD5,GINS1;  GINS2;  GINS3;  GINS4,0.955
claude-3-opus,contextual,GINS complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster,The GINS complex is an essential component of the eukaryotic replicative helicase CMG (Cdc45-MCM-GINS) complex. It plays a crucial role in the initiation and elongation steps of DNA replication by facilitating the formation and progression of the replication fork.,Sld5;  Psf1;  Psf2;  Psf3,SLD5;  PSF1;  PSF2;  PSF3,0.955
claude-3-opus,zero-shot,CMG helicase complex,Saccharomyces cerevisiae (budding yeast),The CMG helicase complex is conserved across eukaryotes;  including Humans;  Mouse;  C. elegans;  and Drosophila melanogaster.,The CMG helicase complex is a key component of the eukaryotic replicative helicase;  which unwinds double-stranded DNA during DNA replication. It is essential for the initiation and elongation stages of DNA replication.,Cdc45 (Cell division cycle 45); Mcm2 (Minichromosome maintenance protein 2); Mcm3 (Minichromosome maintenance protein 3); Mcm4 (Minichromosome maintenance protein 4); Mcm5 (Minichromosome maintenance protein 5); Mcm6 (Minichromosome maintenance protein 6); Mcm7 (Minichromosome maintenance protein 7); Sld5 (Synthetic lethal with dpb11-1 protein 5); Psf1 (Partner of Sld five 1); Psf2 (Partner of Sld five 2); Psf3 (Partner of Sld five 3),CDC45; MCM2; MCM3; MCM4; MCM5; MCM6; MCM7; SLD5; PSF1; PSF2; PSF3,0.955
claude-3-opus,few-shot,CMG helicase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The CMG (Cdc45-MCM-GINS) complex is a replicative helicase that unwinds double-stranded DNA during DNA replication;  separating the two strands to allow the synthesis of new DNA molecules by DNA polymerase.,Mini-chromosome maintenance protein 2;  Mini-chromosome maintenance protein 3;  Mini-chromosome maintenance protein 4;  Mini-chromosome maintenance protein 5;  Mini-chromosome maintenance protein 6;  Mini-chromosome maintenance protein 7;  Cell division control protein 45;  Sld5;  GINS complex subunit 1;  DNA replication complex GINS protein PSF2;  GINS complex subunit 3,MCM2;  MCM3;  MCM4;  MCM5;  MCM6;  MCM7;  CDC45;  SLD5;  PSF1;  PSF2;  PSF3,0.97
claude-3-opus,contextual,CMG helicase complex,Saccharomyces cerevisiae (budding yeast),Human;  Mouse;  C. elegans;  Drosophila melanogaster,The CMG (Cdc45-MCM-GINS) helicase complex is a key component of the eukaryotic replication fork;  responsible for unwinding double-stranded DNA during DNA replication. It is essential for the initiation and elongation phases of DNA replication.,Cell division control protein 45 (Cdc45); Mini-chromosome maintenance protein 2 (Mcm2); Mini-chromosome maintenance protein 3 (Mcm3); Mini-chromosome maintenance protein 4 (Mcm4); Mini-chromosome maintenance protein 5 (Mcm5); Mini-chromosome maintenance protein 6 (Mcm6); Mini-chromosome maintenance protein 7 (Mcm7); GINS complex subunit 1 (Psf1); GINS complex subunit 2 (Psf2); GINS complex subunit 3 (Psf3); GINS complex subunit 4 (Sld5),CDC45; MCM2; MCM3; MCM4; MCM5; MCM6; MCM7; PSF1; PSF2; PSF3; SLD5,0.955
claude-3-opus,zero-shot,20S mitochondrial small ribosomal subunit,Human (Homo sapiens),Mouse (Mus musculus);  Drosophila melanogaster;  Saccharomyces cerevisiae,The 20S mitochondrial small ribosomal subunit is a component of the mitochondrial ribosome;  which is responsible for the synthesis of proteins encoded by the mitochondrial genome. It plays a crucial role in the translation of mitochondrial mRNAs into functional proteins essential for oxidative phosphorylation and energy production.,MRPS2;  MRPS5;  MRPS6;  MRPS7;  MRPS9;  MRPS10;  MRPS11;  MRPS12;  MRPS14;  MRPS15;  MRPS16;  MRPS17;  MRPS18A;  MRPS18B;  MRPS18C;  MRPS21;  MRPS22;  MRPS23;  MRPS24;  MRPS25;  MRPS26;  MRPS27;  MRPS28;  MRPS30;  MRPS31;  MRPS33;  MRPS34;  MRPS35;  MRPS36;  PTCD3,MRPS2;  MRPS5;  MRPS6;  MRPS7;  MRPS9;  MRPS10;  MRPS11;  MRPS12;  MRPS14;  MRPS15;  MRPS16;  MRPS17;  MRPS18A;  MRPS18B;  MRPS18C;  MRPS21;  MRPS22;  MRPS23;  MRPS24;  MRPS25;  MRPS26;  MRPS27;  MRPS28;  MRPS30;  MRPS31;  MRPS33;  MRPS34;  MRPS35;  MRPS36;  PTCD3,0.81
claude-3-opus,few-shot,20S mitochondrial small ribosomal subunit,Human,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae,The 20S mitochondrial small ribosomal subunit is a part of the mitochondrial ribosome (mitoribosome) responsible for the synthesis of mitochondrial proteins essential for oxidative phosphorylation and ATP production.,28S ribosomal protein S2;  mitochondrial;  28S ribosomal protein S5;  28S ribosomal protein S6;  28S ribosomal protein S7;  28S ribosomal protein S9;  28S ribosomal protein S10;  28S ribosomal protein S11;  28S ribosomal protein S12;  28S ribosomal protein S14;  28S ribosomal protein S15;  28S ribosomal protein S16;  28S ribosomal protein S17;  28S ribosomal protein S18a;  28S ribosomal protein S18b;  28S ribosomal protein S18c;  28S ribosomal protein S21;  28S ribosomal protein S22;  28S ribosomal protein S23;  28S ribosomal protein S24;  28S ribosomal protein S25;  28S ribosomal protein S26;  28S ribosomal protein S27;  28S ribosomal protein S28;  28S ribosomal protein S29;  28S ribosomal protein S30;  28S ribosomal protein S31;  28S ribosomal protein S33;  28S ribosomal protein S34;  28S ribosomal protein S35;  28S ribosomal protein S36,MRPS2;  MRPS5;  MRPS6;  MRPS7;  MRPS9;  MRPS10;  MRPS11;  MRPS12;  MRPS14;  MRPS15;  MRPS16;  MRPS17;  MRPS18A;  MRPS18B;  MRPS18C;  MRPS21;  MRPS22;  MRPS23;  MRPS24;  MRPS25;  MRPS26;  MRPS27;  MRPS28;  MRPS29;  MRPS30;  MRPS31;  MRPS33;  MRPS34;  MRPS35;  MRPS36,0.97
