Complex,Technique,LLM,Complex Function,Organism,Other Organisms,Proteins,Genes,Self Confidence Score
Glycosylphosphatidylinositol-mannosyltransferase I complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Glycosylphosphatidylinositol‑mannosyltransferase I (GPI‑MT I) complex  
Organism: Human  

Complex Function:  
Catalyzes the transfer of the first mannose from dolichol‑phosphate‑mannose (Dol‑P‑Man) to glucosaminyl‑phosphatidylinositol (GlcN‑PI) during the early steps of GPI‑anchor precursor biosynthesis in the lumen of the endoplasmic reticulum.

Proteins:  
- GPI‑mannosyltransferase 1 catalytic subunit (PIG‑M)  
- GPI‑mannosyltransferase 1 accessory subunit (PIG‑X)

Genes:  
- PIGM  
- PIGX

Other Organisms (where orthologous complexes have been characterized):  
- Mus musculus (Pig­m, Pig­x)  
- Saccharomyces cerevisiae (Gpi14p, Gpi18p; the yeast counterparts of PIG‑M and PIG‑X, respectively)  
- Caenorhabditis elegans (pig‑m, pig‑x)  
- Drosophila melanogaster (CG10555, CG14965)

Self Confidence Score: 0.90",,,
Glycosylphosphatidylinositol-mannosyltransferase I complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Glycosylphosphatidylinositol‑mannosyltransferase I complex  
Organism: Human  
Complex Function: Catalyzes the transfer of the first mannose from dolichol‑phosphate‑mannose onto the GlcN‑acyl‑phosphatidylinositol intermediate during GPI‑anchor biosynthesis in the endoplasmic reticulum.  
Proteins:  
• GPI‑mannosyltransferase 1 catalytic subunit (PIG‑M)  
• GPI‑mannosyltransferase I auxiliary subunit (PIG‑X)  
Genes:  
• PIGM  
• PIGX  
Other Organisms:  
• Mouse (Pigm, Pigx orthologs with >90% sequence identity)  
• Saccharomyces cerevisiae (functional counterparts Gpi13, Gpi14, Gpi19 in yeast GPI‑Man‑T I)  
• Drosophila melanogaster (putative orthologs CG31901, CG12215)  
• Caenorhabditis elegans (putative orthologs F12A10.7, C36A4.2)  
Self Confidence Score: 0.89",,,
Dsl1 tethering complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism  
  Saccharomyces cerevisiae  

Complex name  
  Dsl1 tethering complex  

Function  
  • Tethers COPI‑coated vesicles arriving from the Golgi to the endoplasmic reticulum (ER) membrane  
  • Promotes SNARE complex assembly for vesicle fusion  
  • Facilitates retrieval of ER‑resident proteins and ER‑Golgi cycling receptors  

Subunit composition (protein → gene, with ORF)  
  1. Dsl1 → DSL1 (YNL122C)  
  2. Tip20 → TIP20 (YIL124W)  
  3. Sec39 → SEC39 (YBR139C)  

Orthologous complexes in other eukaryotes  
  • Homo sapiens: ZW10 (Dsl1), RINT1 (Tip20), NAG (Sec39)  
  • Mus musculus, Caenorhabditis elegans, Drosophila melanogaster (conserved homologs)  

Self‑confidence score: 0.94  
  – Consistency across sources: 0.28/0.30  
  – Experimental support:         0.28/0.30  
  – Protein–gene mapping:         0.24/0.25  
  – Organism specificity:         0.14/0.15",,,
Dsl1 tethering complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Dsl1 tethering complex  
Organism: Saccharomyces cerevisiae  
Complex Function: Mediates retrograde vesicle tethering from the Golgi to the endoplasmic reticulum. It acts at the ER surface to capture COPI-coated vesicles, scaffolds SNARE assembly, and promotes membrane fusion.  
Proteins:  
- Dsl1  
- Tip20  
- Sec39  

Genes:  
- DSL1  
- TIP20  
- SEC39  

Other Organisms:  
In metazoans, an analogous complex is the NRZ (NAG–RINT1–ZW10) complex, with orthologous subunits:  
- NBAS (NAG)  
- RINT1  
- ZW10  

Self Confidence Score: 0.97",,,
Dsl1 tethering complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Dsl1 tethering complex  
Organism: Saccharomyces cerevisiae  
Complex Function: Mediates tethering of COPI‑coated vesicles arriving from the Golgi to the endoplasmic reticulum, facilitating retrograde vesicle docking and fusion at the ER membrane.  

Proteins and Corresponding Genes:  
  • Dsl1p – DSL1  
  • Tip20p – TIP20  
  • Sec39p (also known as Dsl3p) – SEC39  

Other Organisms:  
  • Humans: the homologous “NRZ” complex (NBAS, RINT1, ZW10) performs a similar tethering function.  
  • Drosophila melanogaster: homologs of ZW10, Rint1, and NAG/Nbas.  
  • Caenorhabditis elegans: predicted homologs of the NRZ components.  

Self Confidence Score: 0.94",,,
"AP-1 adaptor cpmplex (HA1, HA1 clathrin adaptor)",zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism: Homo sapiens  
Complex name: AP-1 adaptor complex (clathrin-associated adaptor protein complex 1, HA1)  

Function:  
• Mediates the selection of transmembrane cargo and the formation of clathrin‑coated vesicles at the trans‑Golgi network (TGN) and endosomes  
• Sorts cargo proteins to endosomes, lysosomes, and specialized plasma‑membrane domains  
• Interacts with clathrin, phosphoinositides, and cargo-sorting signals (e.g., YXXØ motifs)  

Subunit composition (heterotetramer) and corresponding genes:  
1. γ1‑adaptin (AP-1 gamma subunit)  
   – Protein: AP1G1 (adaptin gamma-1)  
   – Gene: AP1G1  
2. β1‑adaptin (AP-1 beta subunit)  
   – Protein: AP1B1 (adaptin beta-1)  
   – Gene: AP1B1  
3. μ1‑adaptin (medium subunit)  
   – Protein: AP1M1 (adaptin mu-1)  
   – Gene: AP1M1  
4. σ1‑adaptin (small subunit)  
   – Protein: AP1S1 (adaptin sigma-1)  
   – Gene: AP1S1  

Note on isoforms in human epithelia: AP1M2 (μ1B) and AP1S2/3 (σ1B/σ1C) can substitute the μ1/σ1 subunits to form tissue‑specific AP-1B complexes, but the core “ubiquitous” AP-1A is AP1G1–AP1B1–AP1M1–AP1S1.  

Other organisms with homologous AP-1 complexes:  
• Mus musculus (mouse) – orthologs: Ap1g1, Ap1b1, Ap1m1, Ap1s1  
• Drosophila melanogaster – orthologs: γCOP, βCOP, μ1COP, σ1COP  
• Caenorhabditis elegans – orthologs: apa-1 (γ), apb-1 (β), apm-1 (μ), aps-1 (σ)  
• Saccharomyces cerevisiae – homologous complex: AP-1/clathrin adaptor (Apl4p, Apl2p, Apm1p, Aps1p)  

Self‑confidence score: 0.95  
(Weights: database consistency 0.30=1.00; experimental support 0.30=1.00; protein–gene mapping 0.25=0.90; human‑specific focus 0.15=1.00)",,,
"AP-1 adaptor cpmplex (HA1, HA1 clathrin adaptor)",few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: AP-1 adaptor complex (HA1 clathrin adaptor)  
Organism: Human (Homo sapiens)  

Complex Function:  
Mediates the formation of clathrin‐coated vesicles at the trans‑Golgi network (TGN) and endosomes. Recognizes tyrosine‑ and dileucine‑based sorting signals on cargo proteins to direct their transport between the TGN, endosomes and plasma membrane.  

Proteins:  
• AP‐1 complex subunit gamma‑1 (γ1‑adaptin)  
• AP‐1 complex subunit beta‑1 (β1‑adaptin)  
• AP‐1 complex subunit mu‑1A (μ1A‑adaptin)  
• AP‐1 complex subunit sigma‑1A (σ1A‑adaptin)  

Genes:  
• AP1G1  
• AP1B1  
• AP1M1  
• AP1S1  

Other Organisms:  
Conserved across eukaryotes—Mouse (Mus musculus), Rat (Rattus norvegicus), Drosophila melanogaster, Caenorhabditis elegans, Saccharomyces cerevisiae  

Self Confidence Score: 0.94",,,
"AP-1 adaptor cpmplex (HA1, HA1 clathrin adaptor)",contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: AP-1 adaptor complex (HA1 clathrin adaptor)  
Organism: Human  

Complex Function:  
Mediates clathrin‑coated vesicle formation at the trans‑Golgi network and endosomes, selecting and concentrating cargo proteins for proper intracellular trafficking.

Proteins:  
• Gamma‑1 adaptin (γ‑adaptin)  
• Beta‑1 adaptin (β‑adaptin)  
• Mu‑1A adaptin (μ‑adaptin)  
• Sigma‑1A adaptin (σ‑adaptin)  

Genes:  
• AP1G1 (γ‑adaptin)  
• AP1B1 (β‑adaptin)  
• AP1M1 (μ‑adaptin)  
• AP1S1 (σ‑adaptin)  

Other Organisms:  
AP‑1 complexes with orthologous subunit compositions are found in Mouse, Drosophila melanogaster, Caenorhabditis elegans and Saccharomyces cerevisiae.

Self Confidence Score: 0.97",,,
PAN1 actin cytoskeleton-regulatory complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:
  Saccharomyces cerevisiae

Complex name:
  Pan1 actin cytoskeleton–regulatory complex  
  (often referred to as the Pan1–Sla1–End3 complex)

Function:
  • Serves as a central scaffold at clathrin‐mediated endocytic sites  
  • Couples endocytic coat proteins to Arp2/3‐driven actin polymerization  
  • Regulates assembly and turnover of cortical actin patches during vesicle invagination  

Core subunit proteins and their genes:
  1. Pan1p  
     – Gene: PAN1 (YER180W)  
     – Role: multi‐EH–domain scaffold; binds End3p and Sla1p; recruits actin‐nucleation factors  
  2. Sla1p  
     – Gene: SLA1 (YBL111C)  
     – Role: SH3‐domain adaptor; links Pan1p to coat proteins and actin regulators  
  3. End3p  
     – Gene: END3 (YJL101C)  
     – Role: EH‐domain protein; stabilizes Pan1–Sla1 interaction and promotes complex assembly  

Other known associated factors (non‑core/stably associated):
  – Las17 (yeast WASP; gene LAS17)  
  – Type I myosins Myo3 (MYO3) and Myo5 (MYO5)  
  – Arp2/3 complex subunits (e.g., Arc15, Arc18)  
  – These bind transiently to the Pan1–Sla1–End3 scaffold to drive actin nucleation

Presence in other organisms:
  • This specific Pan1–Sla1–End3 complex has been characterized only in S. cerevisiae.  
  • Functional analogs (e.g. Eps15/Intersectin scaffolds) exist in higher eukaryotes but do not form a one‐to‐one Pan1 complex.

Self‑confidence estimate: 0.92  
  • Consistency across sources (0.3): high  
  • Experimental support (0.3): strong genetic and biochemical data  
  • Protein–gene mapping accuracy (0.25): confirmed by Saccharomyces Genome Database  
  • Organism specificity (0.15): complex is yeast‑specific",,,
PAN1 actin cytoskeleton-regulatory complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Pan1–Sla1–End3 complex  
Organism: Saccharomyces cerevisiae  
Complex Function:  
This tri‑partite scaffold assembles at endocytic cortical patches to coordinate actin nucleation and polymerization during clathrin‑mediated endocytosis. It links early coat proteins to the Arp2/3 activator Las17 (WASP homolog), organizes patch lifespan, and regulates patch internalization.  

Proteins and Genes:  
• Pan1p   (PAN1)  
• Sla1p   (SLA1)  
• End3p   (END3)  

Other Organisms: N/A (the complex as such is characterized in budding yeast; functional analogs exist in other eukaryotes but with different subunit composition)  

Self Confidence Score: 0.93",,,
PAN1 actin cytoskeleton-regulatory complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: PAN1 actin cytoskeleton‑regulatory complex  
Organism: Saccharomyces cerevisiae  
Other Organisms: N/A  

Complex Function:  
• Acts at cortical actin patches to coordinate endocytic vesicle formation and spatially regulate Arp2/3‑mediated actin polymerization.  
• Serves as a scaffold recruiting actin‑binding and membrane‑remodeling factors during clathrin‑mediated endocytosis.  

Proteins and Corresponding Genes:  
• Pan1 (scaffold protein) – PAN1  
• End3 (EH‑domain adaptor) – END3  
• Sla1 (SH3‑domain adaptor) – SLA1  

Self Confidence Score: 0.90",,,
AMPK complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
• Homo sapiens

Complex name:  
• AMP‑activated protein kinase (AMPK) heterotrimeric complex

Complex function:  
• Serves as a central energy sensor that maintains cellular energy homeostasis.  
• Activated by rising AMP/ADP levels (allosteric) and by phosphorylation at Thr172 by upstream kinases (LKB1, CaMKK2, TAK1).  
• Once active, phosphorylates targets such as acetyl‑CoA carboxylase (ACC1/2), HMG‑CoA reductase, TSC2, ULK1 to inhibit anabolic processes (lipogenesis, protein synthesis via mTORC1) and promote catabolic pathways (fatty‑acid oxidation, autophagy, glucose uptake).

Subunit composition and corresponding genes:  
• Catalytic α‑subunits  
  – AMPKα1 (Protein: PRKAA1) — Gene: PRKAA1  
  – AMPKα2 (Protein: PRKAA2) — Gene: PRKAA2  

• Regulatory β‑subunits  
  – AMPKβ1 (Protein: PRKAB1) — Gene: PRKAB1  
  – AMPKβ2 (Protein: PRKAB2) — Gene: PRKAB2  

• Regulatory γ‑subunits (nucleotide‑binding)  
  – AMPKγ1 (Protein: PRKAG1) — Gene: PRKAG1  
  – AMPKγ2 (Protein: PRKAG2) — Gene: PRKAG2  
  – AMPKγ3 (Protein: PRKAG3) — Gene: PRKAG3  

Notes on isoform assembly:  
• Any combination of one α, one β, and one γ isoform assembles into an active complex. Tissue distribution varies (e.g., γ3 is skeletal‑muscle enriched).

Other organisms (conserved complexes):  
• Mus musculus (mouse): orthologous Prkaa1/2, Prkab1/2, Prkag1/2/3  
• Saccharomyces cerevisiae: SNF1 complex (Snf1, Sip1/2/3, Snf4)  
• Caenorhabditis elegans: AAK‑1/2 complexes  
• Drosophila melanogaster: dAMPK (α, β, γ subunits)

Self‑confidence score and rationale (0.00–1.00):  
0.93  
• Consistency across databases/sources (0.30): 0.29 – UniProt, NCBI, Reactome agree on subunits and functions.  
• Supporting experimental data (0.30): 0.30 – Multiple biochemical and genetic studies validate structure and regulatory roles.  
• Protein‑gene mapping accuracy (0.25): 0.23 – Well annotated; minor splice‑variant complexity acknowledged.  
• Organism specificity (0.15): 0.11 – Focused on human; avoided non‑human detail.",,,
AMPK complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: AMP-activated protein kinase (AMPK) complex  
Organism: Human  
Complex Function: A heterotrimeric Ser/Thr kinase that monitors cellular energy status by sensing AMP/ATP and ADP/ATP ratios. Upon activation by rising AMP or ADP levels, AMPK phosphorylates downstream targets to inhibit anabolic pathways (e.g., fatty acid, cholesterol, and protein synthesis) and activate catabolic processes (e.g., glucose uptake, autophagy, and mitochondrial biogenesis), thus restoring energy balance.  
Proteins:  
  • AMPK α1 catalytic subunit  
  • AMPK α2 catalytic subunit  
  • AMPK β1 regulatory subunit  
  • AMPK β2 regulatory subunit  
  • AMPK γ1 regulatory subunit  
  • AMPK γ2 regulatory subunit  
  • AMPK γ3 regulatory subunit  
Genes:  
  • PRKAA1 (encodes AMPK α1)  
  • PRKAA2 (encodes AMPK α2)  
  • PRKAB1 (encodes AMPK β1)  
  • PRKAB2 (encodes AMPK β2)  
  • PRKAG1 (encodes AMPK γ1)  
  • PRKAG2 (encodes AMPK γ2)  
  • PRKAG3 (encodes AMPK γ3)  
Other Organisms: Mouse, Rat, Saccharomyces cerevisiae (SNF1 complex), Drosophila melanogaster, Caenorhabditis elegans  
Self Confidence Score: 0.95",,,
AMPK complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: AMP-activated protein kinase (AMPK) complex  
Organism: Human  
Complex Function: A heterotrimeric serine/threonine kinase that senses cellular energy status via AMP/ADP-to-ATP ratios. Upon activation by upstream kinases (e.g. LKB1, CAMKK2), AMPK phosphorylates metabolic enzymes and transcriptional regulators to inhibit anabolic pathways (lipid, protein, and glycogen synthesis) and stimulate catabolic processes (fatty acid oxidation, autophagy, glucose uptake), thereby restoring energy balance.  
Proteins (isoform families):  
  • Catalytic α‑subunits: AMPK α‑1, AMPK α‑2  
  • Regulatory β‑subunits: AMPK β‑1, AMPK β‑2  
  • Regulatory γ‑subunits: AMPK γ‑1, AMPK γ‑2, AMPK γ‑3  
Genes:  
  • PRKAA1 (α‑1)  
  • PRKAA2 (α‑2)  
  • PRKAB1 (β‑1)  
  • PRKAB2 (β‑2)  
  • PRKAG1 (γ‑1)  
  • PRKAG2 (γ‑2)  
  • PRKAG3 (γ‑3)  
Other Organisms: Conserved across eukaryotes; orthologous complexes exist in Mouse, Drosophila melanogaster, Caenorhabditis elegans and Saccharomyces cerevisiae.  
Self Confidence Score: 0.93",,,
Augmin complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Drosophila melanogaster  

Complex name:  
Augmin complex  

Function (D. melanogaster–specific):  
• Binds spindle microtubules and recruits the γ‑tubulin ring complex (γ‑TuRC) to existing microtubules, driving “branched” microtubule nucleation within the mitotic spindle.  
• Essential for robust spindle assembly, pole integrity and faithful chromosome segregation in both syncytial and somatic divisions.  

Subunit composition (protein → gene):  
1. Dgt2 → Dgt2 (CG3273)  
2. Dgt3 → Dgt3 (CG3224)  
3. Dgt4 → Dgt4 (CG3323)  
4. Dgt5 → Dgt5 (CG17460)  
5. Dgt6 → Dgt6 (CG9018)  
6. Msd1 → msd1 (CG16884)  
7. Wac  → wac   (CG9119)  
8. Hice1→ Hice1 (CG1540)  

Other organisms with an Augmin/HAUS complex:  
• Homo sapiens (HAUS1–8)  
• Mus musculus (Haus1–8)  
• Caenorhabditis elegans (homologs of HAUS subunits reported)  
• Absent in Saccharomyces cerevisiae  

Self‑confidence score: 0.88  
 – Consistency across databases/sources (0.3): 0.90  
 – Experimental support (0.3): 0.90  
 – Protein–gene mapping accuracy (0.25): 0.80  
 – Organism specificity (0.15): 0.90",,,
Augmin complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Augmin complex  
Organism: Drosophila melanogaster  

Complex Function:  
• An eight‐subunit complex that binds to existing spindle microtubules and recruits the γ‐tubulin ring complex (γ‐TuRC), promoting branched microtubule nucleation within the mitotic spindle.  
• Essential for robust spindle assembly, proper chromosome alignment, and faithful segregation during mitosis and meiosis.  

Proteins and Corresponding Genes:  
1. Dgt1 (also called Msd1) – gene: msd1 (formerly dgt1)  
2. Dgt2 – gene: dgt2  
3. Dgt3 – gene: dgt3  
4. Dgt4 – gene: dgt4  
5. Dgt5 – gene: dgt5  
6. Dgt6 – gene: dgt6  
7. Dgt7 – gene: dgt7  
8. Dgt8 – gene: dgt8  

Other Organisms:  
• Metazoans and higher plants harbor orthologous complexes.  
• In Homo sapiens and Mus musculus the eight subunits are known as HAUS1–HAUS8.  
• Orthologs also reported in Xenopus laevis and Arabidopsis thaliana.  
• No clear augmin homologs in Saccharomyces cerevisiae.  

Self Confidence Score: 0.85",,,
Augmin complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Augmin complex  
Organism: Drosophila melanogaster  

Complex Function:  
 The Drosophila augmin complex binds along existing spindle microtubules during mitosis to recruit the γ‑tubulin ring complex (γTuRC), thereby promoting branched microtubule nucleation and contributing to spindle assembly, stability and bipolarity.  

Proteins (subunits) and corresponding genes:  
 • Dgt2 (gene: dgt2)  
 • Dgt3 (gene: dgt3)  
 • Dgt4 (gene: dgt4)  
 • Dgt5 (gene: dgt5)  
 • Dgt6 (gene: dgt6)  
 • Dgt7 (gene: dgt7)  
 • Dgt8 (gene: dgt8)  
 • Dgt9 (gene: dgt9)  

Other organisms where augmin is found:  
 • Homo sapiens (HAUS1–8 orthologs)  
 • Mus musculus  
 • Xenopus laevis  
 • Danio rerio  

Self Confidence Score: 0.85  
 Breakdown:  
 • Consistency across sources: 0.27/0.30  
 • Experimental support (mitotic spindle studies): 0.26/0.30  
 • Protein–gene mapping accuracy: 0.22/0.25  
 • Organism specificity: 0.10/0.15",,,
Myb-MuvB transcriptional activation complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Homo sapiens  

Complex name:  
B‑Myb–MuvB (MMB) transcriptional activation complex  

Function:  
Drives transcription of G₂/M cell‑cycle genes (e.g. cyclin B1, PLK1) by recruiting the basal transcription machinery and histone modifiers at promoters during S‑to‑G₂ transition.  

Core protein components and their genes:  
1. B‑Myb (MYBL2) – transcription factor subunit  
2. Lin‑9 (LIN9) – MuvB scaffolding subunit  
3. Lin‑37 (LIN37) – MuvB subunit, stabilizes complex  
4. Lin‑52 (LIN52) – phosphorylation switch controlling assembly  
5. Lin‑54 (LIN54) – DNA‑binding MuvB subunit (CXC domain)  
6. RbAp48 (RBBP4) – histone‑binding subunit  

Other organisms (orthologous complexes):  
– Mus musculus (B‑Myb/MuvB conserved)  
– Drosophila melanogaster (Myb–Mip130/Mip120/Mip40 “dREAM/Myb‑MuvB”)  
– Caenorhabditis elegans (EFL‑1/DPL‑1–MuvB‐based DREAM)  

Self‑confidence score (0.00–1.00): 0.90  
Breakdown:  
• Consistency across sources (0.30): 0.28  
• Experimental support (0.30): 0.27  
• Protein–gene mapping accuracy (0.25): 0.23  
• Organism specificity (0.15): 0.12",,,
Myb-MuvB transcriptional activation complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Myb–MuvB (MMB) transcriptional activation complex  
Organism: Human  

Complex Function:  
• Drives expression of genes required for G2/M-phase progression and mitosis by binding promoters of cell‐cycle genes and recruiting co‐activators.  

Proteins in the Complex and Their Genes:  
• B‐Myb (Myb proto‐oncogene like 2) – MYBL2  
• LIN9 – LIN9  
• LIN37 – LIN37  
• LIN52 – LIN52  
• LIN54 – LIN54  
• RBAP48 (Retinoblastoma‐binding protein 4) – RBBP4  

Other Organisms:  
• Mouse (Mus musculus)  
• Drosophila melanogaster (as dREAM/Myb–MuvB)  
• Caenorhabditis elegans (as DRM complex components)  

Self Confidence Score: 0.96",,,
Myb-MuvB transcriptional activation complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: dREAM (Myb‑MuvB) transcriptional activation complex  
Complex Function: A cell‑cycle–regulated transcriptional co‑activator that, upon Myb recruitment to the conserved MuvB core, drives expression of G2/M genes and facilitates proper mitotic progression.  
Organism: Drosophila melanogaster  
Proteins:  
- Myb  
- Myb‑interacting protein 130 (Mip130)  
- Myb‑interacting protein 120 (Mip120)  
- Myb‑interacting protein 40 (Mip40)  
- Lin‑52  
- Chromatin assembly factor 1 p55 subunit (Caf1‑55)  
Genes:  
- Myb  
- mip130  
- mip120  
- mip40  
- lin‑52  
- Caf1‑55  
Other Organisms: Human, Mouse, Caenorhabditis elegans  
Self Confidence Score: 0.91",,,
CORVET tethering complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism: Saccharomyces cerevisiae  
Complex name: CORVET (Class C core vacuole/endosome tethering)  

Function  
• Acts at early endosomes to tether vesicles prior to SNARE‑mediated membrane fusion.  
• Interacts with the Rab5 ortholog Vps21 to promote endosomal maturation and cargo sorting.  

Subunit composition  
The yeast CORVET complex is a heterohexamer composed of four “class C” subunits shared with HOPS plus two CORVET‑specific subunits:

1. Vps11  
   – Protein: Vps11  
   – Gene: VPS11  

2. Vps16  
   – Protein: Vps16  
   – Gene: VPS16  

3. Vps18  
   – Protein: Vps18  
   – Gene: VPS18  

4. Vps33  
   – Protein: Vps33  
   – Gene: VPS33  

5. Vps3 (CORVET‑specific)  
   – Protein: Vps3  
   – Gene: VPS3  

6. Vps8 (CORVET‑specific)  
   – Protein: Vps8  
   – Gene: VPS8  

Other organisms  
Orthologous CORVET or CORVET‑like assemblies have been identified (or inferred) in:  
• Homo sapiens (VPS11, VPS16, VPS18, VPS33A/B, VPS8‑ and VPS3‑related proteins)  
• Mus musculus  
• Drosophila melanogaster  
• Caenorhabditis elegans  

Self‑confidence score: 1.00  
– Consistency across databases/sources (0.3): 1.00  
– Supporting experimental data (0.3): 1.00  
– Protein↔gene mapping accuracy (0.25): 1.00  
– Specificity to organism (0.15): 1.00",,,
CORVET tethering complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: CORVET tethering complex  
Organism: Saccharomyces cerevisiae  
Complex Function: A six‐subunit endosomal tether that binds the Rab5 ortholog Vps21 to promote homotypic fusion of early endosomes, coordinate SNARE assembly, and facilitate endosomal maturation prior to vacuolar delivery.  
Proteins:  
- Vps3  
- Vps8  
- Vps11  
- Vps16  
- Vps18  
- Vps33  

Genes:  
- VPS3  
- VPS8  
- VPS11  
- VPS16  
- VPS18  
- VPS33  

Other Organisms: Homo sapiens, Mus musculus, Drosophila melanogaster, Caenorhabditis elegans  

Self Confidence Score: 0.95",,,
CORVET tethering complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Class C core vacuole/endosome tethering (CORVET) complex  
Organism: Saccharomyces cerevisiae  

Complex Function:  
CORVET tethers and promotes homotypic fusion of early endosomal membranes. It acts downstream of Rab5 (Vps21) activation to stabilize SNARE assembly at endosomal fusion sites and facilitates the maturation of endosomes toward the vacuole.  

Proteins and Corresponding Genes:  
• Vps3 (YLL040C) – VPS3  
• Vps8 (YDL021C) – VPS8  
• Vps11 (YEL033W) – VPS11  
• Vps16 (YDR124W) – VPS16  
• Vps18 (YJR102C) – VPS18  
• Vps33 (YNL212W) – VPS33  

Other Organisms:  
Homologous CORVET-like complexes (sharing Vps11, Vps16, Vps18, Vps33 core subunits and CORVET-specific subunits analogous to Vps3/Vps8) have been identified in metazoans, including Homo sapiens, Mus musculus, Caenorhabditis elegans and Drosophila melanogaster.  

Self Confidence Score: 0.93",,,
Sodium leak channel complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
  Homo sapiens  

Complex name:  
  Sodium leak channel complex (NALCN complex)  

Function:  
  The NALCN complex forms a voltage‑independent, nonselective cation leak channel at the plasma membrane. By conducting a persistent Na+ “leak” current, it helps set the resting membrane potential and regulates neuronal excitability, rhythmic firing (e.g. respiratory and circadian pacemaking), and systemic Na+ homeostasis.  

Core subunit composition (proteins → encoding genes):  
  • NALCN (Na+ leak channel non‑selective protein) → gene: NALCN  
  • UNC79 (Uncoordinated‑79) → gene: UNC79  
  • UNC80 (Uncoordinated‑80) → gene: UNC80  
  • FAM155A (Family with sequence similarity 155 member A, also called NLF-1 in invertebrates) → gene: FAM155A  

Additional notes on subunit orthologs:  
  • In mammals, FAM155A is the predominant auxiliary subunit; FAM155B exists but its role in the core complex is less well established.  

Other organisms in which the NALCN complex (homologous subunits) has been demonstrated:  
  • Mus musculus (mouse)  
  • Caenorhabditis elegans  
  • Drosophila melanogaster  

Self‑confidence score (0.00–1.00): 0.90  
  • Database consistency (0.30): 0.28 – subunit list and function are consistent across UniProt, NCBI, Reactome.  
  • Experimental support (0.30): 0.27 – electrophysiology and genetic studies in human/mouse validate channel activity and subunit dependence.  
  • Protein–gene mapping (0.25): 0.23 – direct one‑to‑one mapping of proteins to gene symbols in human.  
  • Organism specificity (0.15): 0.12 – all data are drawn from human studies, with clear ortholog evidence in other species.",,,
Sodium leak channel complex,few-shot,ChatGPT,"A voltage‐independent, nonselective cation channel that mediates background Na+ leak currents to set resting membrane potential and regulate neuronal excitability, respiratory rhythm generation, and endocrine secretion in humans.'",Human',"Mouse, Rat, Drosophila melanogaster, Caenorhabditis elegans'","• Sodium leak channel nonselective protein (NALCN)  
 • Uncoordinated‐79 homolog (UNC79)  
 • Uncoordinated‐80 homolog (UNC80)  
 • Protein FAM155A (family with sequence similarity 155 member A)'","NALCN, UNC79, UNC80, FAM155A'",0.93'
Sodium leak channel complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Sodium leak channel complex (NALCN complex)  
Organism: Human (Homo sapiens)  

Complex Function:  
This complex forms a non‐selective, voltage‑insensitive sodium (Na⁺) leak channel that mediates background Na⁺ currents, thereby helping to set and regulate the resting membrane potential and neuronal excitability. It has documented roles in respiratory rhythm generation, circadian pacemaking, pain perception, and basal synaptic transmission.  

Proteins and Corresponding Genes:  
- Sodium leak channel non‑selective protein  
  • Gene: NALCN  
- Uncoordinated‑79 homolog  
  • Gene: UNC79  
- Uncoordinated‑80 homolog  
  • Gene: UNC80  
- NLF‑1 / FAM155A (NALCN‑associated regulatory factor)  
  • Gene: FAM155A  

Other Organisms (where homologous complexes have been identified):  
- Mouse (Mus musculus)  
- Rat (Rattus norvegicus)  
- Zebrafish (Danio rerio)  
- Fruit fly (Drosophila melanogaster)  
- Nematode (Caenorhabditis elegans)  

Self Confidence Score: 0.93",,,
