Complex Name,Organism,Complex Function,Proteins,Genes,Other Organisms,Self Confidence Score
,** *Saccharomyces cerevisiae* (Baker's yeast) **Complex name:** THO Complex,,,,,
"THO complex Complex Function: The THO complex is a conserved multiprotein assembly involved in co-transcriptional mRNA processing and export. It functions as part of the TREX (transcription/export) complex to couple transcription elongation with mRNA export from the nucleus, thereby ensuring proper mRNP (messenger ribonucleoprotein) biogenesis and genome stability through the prevention of R-loop formation during transcription. In humans, the THO complex is essential for efficient transcription elongation, mRNA 3’ end processing, and nuclear export.","Human Proteins: - THOC1 (also known as hHpr1 or Tho2 homolog) - THOC2 - THOC3 (Tex1) - THOC5 - THOC6 - THOC7 Genes: - THOC1 - THOC2 - THOC3 - THOC5 - THOC6 - THOC7 Other Organisms: The THO complex is also found in Saccharomyces cerevisiae, Drosophila melanogaster, Mus musculus (mouse), and Caenorhabditis elegans, with varying subunit compositions but conserved core functions. In yeast (S. cerevisiae), the complex includes proteins such as Hpr1, Tho2, Mft1, Thp2, and Tex1 homologs, reflecting evolutionary conservation. However, the human THO complex is uniquely associated with additional proteins (e.g., THOC5-7) that are less conserved or absent in yeast. Self Confidence Score: 0.95 Rationale: - Consistency across databases (UniProt, NCBI Gene, literature) is high (0.30 weighted). - Strong experimental data (e.g., co-immunoprecipitation, cryo-EM, functional assays) support the complex’s composition and function in humans (0.30 weighted). - Protein-gene mapping is direct and well-established in human genome annotations (0.25 weighted). - Analysis is focused specifically on the human THO complex, avoiding cross-species overgeneralization (0.15 weighted).","The THO complex is a conserved multiprotein assembly involved in co-transcriptional mRNA processing and export. It functions as part of the TREX (transcription/export) complex to couple transcription elongation with mRNA export from the nucleus, thereby ensuring proper mRNP (messenger ribonucleoprotein) biogenesis and genome stability through the prevention of R-loop formation during transcription. In humans, the THO complex is essential for efficient transcription elongation, mRNA 3’ end processing, and nuclear export. Organism: Human",#NAME?,#NAME?,"The THO complex is also found in Saccharomyces cerevisiae, Drosophila melanogaster, Mus musculus (mouse), and Caenorhabditis elegans, with varying subunit compositions but conserved core functions. In yeast (S. cerevisiae), the complex includes proteins such as Hpr1, Tho2, Mft1, Thp2, and Tex1 homologs, reflecting evolutionary conservation. However, the human THO complex is uniquely associated with additional proteins (e.g., THOC5-7) that are less conserved or absent in yeast.","0.95 Rationale: - Consistency across databases (UniProt, NCBI Gene, literature) is high (0.30 weighted). - Strong experimental data (e.g., co-immunoprecipitation, cryo-EM, functional assays) support the complex’s composition and function in humans (0.30 weighted). - Protein-gene mapping is direct and well-established in human genome annotations (0.25 weighted). - Analysis is focused specifically on the human THO complex, avoiding cross-species overgeneralization (0.15 weighted)."
"THO complex Complex Function: The THO complex in *Saccharomyces cerevisiae* is a nuclear multi-protein complex that plays a crucial role in transcription elongation, mRNA processing, and mRNA export from the nucleus to the cytoplasm. It functions by coupling transcription with mRNA export, preventing R-loop accumulation (DNA-RNA hybrid structures) that lead to genome instability. The THO complex facilitates the assembly of export-competent mRNPs (messenger ribonucleoprotein particles), ensuring proper mRNA maturation and efficient export.","*Saccharomyces cerevisiae* (budding yeast) Proteins: Tho2, Hpr1, Mft1, Thp2, Tex1 Genes: THO2, HPR1, MFT1, THP2, TEX1 Other Organisms: The THO complex is conserved and also found in Humans (where it is part of the TREX complex), *Drosophila melanogaster*, and *Caenorhabditis elegans*; however, its characterization is most detailed and prominent in *Saccharomyces cerevisiae*. Self Confidence Score: 0.95 **Rationale for confidence scoring:** - Consistency across databases (0.30): Extensive agreement on subunit composition and function in yeast. - Experimental data (0.30): Strong biochemical, genetic, and structural studies in *S. cerevisiae*. - Protein-gene mapping (0.25): Well-established and annotated in yeast genome. - Organism specificity (0.15): Analysis focused strictly on *S. cerevisiae*, avoiding ambiguity with other organisms.","The THO complex in *Saccharomyces cerevisiae* is a nuclear multi-protein complex that plays a crucial role in transcription elongation, mRNA processing, and mRNA export from the nucleus to the cytoplasm. It functions by coupling transcription with mRNA export, preventing R-loop accumulation (DNA-RNA hybrid structures) that lead to genome instability. The THO complex facilitates the assembly of export-competent mRNPs (messenger ribonucleoprotein particles), ensuring proper mRNA maturation and efficient export. Organism: *Saccharomyces cerevisiae* (budding yeast)","Tho2, Hpr1, Mft1, Thp2, Tex1","THO2, HPR1, MFT1, THP2, TEX1","The THO complex is conserved and also found in Humans (where it is part of the TREX complex), *Drosophila melanogaster*, and *Caenorhabditis elegans*; however, its characterization is most detailed and prominent in *Saccharomyces cerevisiae*.","0.95 **Rationale for confidence scoring:** - Consistency across databases (0.30): Extensive agreement on subunit composition and function in yeast. - Experimental data (0.30): Strong biochemical, genetic, and structural studies in *S. cerevisiae*. - Protein-gene mapping (0.25): Well-established and annotated in yeast genome. - Organism specificity (0.15): Analysis focused strictly on *S. cerevisiae*, avoiding ambiguity with other organisms."
,,,,,,
"Endosomal SNARE complex Tlg2-Vti1-Tlg1-Snc2 Complex Function: This complex mediates membrane fusion events specifically in the late Golgi and endosomal network of Saccharomyces cerevisiae (budding yeast). It facilitates vesicle trafficking and fusion between the trans-Golgi network (TGN) and early endosomes, crucial for retrograde transport and endosomal maturation.","Saccharomyces cerevisiae Proteins: - Tlg2 (syntaxin family SNARE) - Vti1 (Q-SNARE; involved in endosome to Golgi transport) - Tlg1 (syntaxin family SNARE) - Snc2 (R-SNARE; vesicle-associated) Genes: - TLG2 - VTI1 - TLG1 - SNC2 Other Organisms: The exact Tlg2-Vti1-Tlg1-Snc2 complex configuration is specific to Saccharomyces cerevisiae. Homologous SNARE complexes with similar functions exist in other eukaryotes (e.g., in humans, the syntaxin 6, syntaxin 16, Vti1a, and VAMP4 complex mediates similar trafficking steps), but the Tlg2-Vti1-Tlg1-Snc2 naming and composition is yeast-specific. Self Confidence Score: 0.93","This complex mediates membrane fusion events specifically in the late Golgi and endosomal network of Saccharomyces cerevisiae (budding yeast). It facilitates vesicle trafficking and fusion between the trans-Golgi network (TGN) and early endosomes, crucial for retrograde transport and endosomal maturation. Organism: Saccharomyces cerevisiae",- Tlg2 (syntaxin family SNARE) - Vti1 (Q-SNARE; involved in endosome to Golgi transport) - Tlg1 (syntaxin family SNARE) - Snc2 (R-SNARE; vesicle-associated),0,"The exact Tlg2-Vti1-Tlg1-Snc2 complex configuration is specific to Saccharomyces cerevisiae. Homologous SNARE complexes with similar functions exist in other eukaryotes (e.g., in humans, the syntaxin 6, syntaxin 16, Vti1a, and VAMP4 complex mediates similar trafficking steps), but the Tlg2-Vti1-Tlg1-Snc2 naming and composition is yeast-specific.",0.93
"Endosomal SNARE complex Tlg2-Vti1-Tlg1-Snc2 Complex Function: This SNARE complex mediates vesicle fusion events at the late Golgi and early endosome compartments, facilitating membrane trafficking and protein sorting within the endosomal system. It is essential for the retrograde transport from early endosomes to the trans-Golgi network and proper maintenance of endosome-Golgi cycling.","Saccharomyces cerevisiae Proteins: - Tlg2p (syntaxin-like Qa-SNARE) - Vti1p (Qb-SNARE) - Tlg1p (Qc-SNARE) - Snc2p (R-SNARE) Genes: - TLG2 - VTI1 - TLG1 - SNC2 Other Organisms: Homologous SNARE complexes are found in other eukaryotes including humans and other fungi; however, the specific Tlg2-Vti1-Tlg1-Snc2 composition and naming convention is most prominent and well characterized in Saccharomyces cerevisiae. Self Confidence Score: 0.95","This SNARE complex mediates vesicle fusion events at the late Golgi and early endosome compartments, facilitating membrane trafficking and protein sorting within the endosomal system. It is essential for the retrograde transport from early endosomes to the trans-Golgi network and proper maintenance of endosome-Golgi cycling. Organism: Saccharomyces cerevisiae",- Tlg2p (syntaxin-like Qa-SNARE) - Vti1p (Qb-SNARE) - Tlg1p (Qc-SNARE) - Snc2p (R-SNARE),0,"Homologous SNARE complexes are found in other eukaryotes including humans and other fungi; however, the specific Tlg2-Vti1-Tlg1-Snc2 composition and naming convention is most prominent and well characterized in Saccharomyces cerevisiae.",0.95
,,,,,,
Ste12/Dig1/Dig2 transcription regulation complex,Saccharomyces cerevisiae,"This transcriptional regulatory complex modulates the activity of Ste12, a key transcription factor controlling mating and filamentous growth pathways in yeast. Ste12 activates genes required for pheromone response and development processes, while Dig1 and Dig2 act as repressors that bind Ste12 to negatively regulate its transcriptional activity, thereby fine-tuning the mating and invasive growth gene expression programs in response to environmental cues.",#NAME?,0,"The Ste12/Dig1/Dig2 complex is highly specific to Saccharomyces cerevisiae and closely related budding yeast species. Orthologous regulation systems occur in other fungi, but the exact Ste12-Dig1-Dig2 complex composition is not conserved in Human, Mouse, Caenorhabditis elegans, or Drosophila melanogaster.",0.95
Ste12/Dig1/Dig2 transcription regulation complex,*Saccharomyces cerevisiae* (budding yeast),"The Ste12/Dig1/Dig2 complex is a key transcriptional regulatory assembly that controls gene expression in response to pheromone signaling during the yeast mating pathway. Ste12 is a sequence-specific DNA-binding transcription factor that activates mating-specific genes when the pheromone signaling pathway is induced. Dig1 and Dig2 act as negative regulators or repressors, binding to Ste12 to inhibit its transcriptional activation under non-inducing conditions. Upon pheromone stimulation, MAP kinase signaling leads to phosphorylation events that relieve Dig1/Dig2 repression, enabling Ste12 to activate transcription of target genes involved in mating and invasive growth.",- Ste12 (transcription factor) - Dig1 (Ste12-interacting repressor) - Dig2 (Ste12-interacting repressor),#NAME?,"The full Ste12/Dig1/Dig2 complex, with precisely these three proteins and their interactions, is specific and best characterized in *Saccharomyces cerevisiae*. Orthologs of Ste12-like transcription factors exist in other fungi (e.g., *Candida albicans*), but the precise composition including Dig1 and Dig2 regulators is not conserved in metazoans such as humans, mice, or *Drosophila melanogaster*. The complex is therefore considered a fungal-specific regulatory module, with prominent evidence only in *S. cerevisiae* and closely related yeasts.","0.94 Justification of Confidence Score: - Consistency across databases/sources (0.30 weight): The description of Ste12 interaction with Dig1 and Dig2 is consistently reported in yeast-focused genetic, proteomic, and signaling pathway databases (e.g., SGD, BioGRID, literature). Score: 0.95 - Supporting experimental data (0.30 weight): Genetic, biochemical, and functional analyses extensively support the role of Ste12 and its regulation by Dig1/Dig2 in pheromone response. Phosphorylation-dependent release of repression is experimentally established. Score: 0.95 - Protein-gene mapping accuracy (0.25 weight): The gene-to-protein mappings STE12, DIG1, DIG2 are well established, with standard yeast gene nomenclature. Score: 1.00 - Organism specificity (0.15 weight): The complex is highly specific to *S. cerevisiae* and close fungal relatives, not found in the other model organisms listed. Score: 0.85 Final calculation: (0.95 * 0.30) + (0.95 * 0.30) + (1.00 * 0.25) + (0.85 * 0.15) = 0.285 + 0.285 + 0.25 + 0.1275 = 0.9475 ~ 0.94"
,,,,,,
TRAPP II complex,Saccharomyces cerevisiae (budding yeast),"The TRAPP II complex in *Saccharomyces cerevisiae* functions as a multisubunit tethering complex that acts as a guanine nucleotide exchange factor (GEF) specifically for Ypt GTPases, primarily Ypt31/32. It plays a critical role in late Golgi membrane trafficking, specifically mediating vesicle tethering and fusion events that drive post-Golgi secretory pathways and endosome-to-Golgi retrograde transport. The TRAPP II complex is essential in maintaining Golgi structure and facilitating the sorting of cargo proteins destined for the plasma membrane or vacuole. Proteins in the complex and corresponding genes in *S. cerevisiae*: - Bet3 (BET3) - Bet5 (BET5) - Trs20 (TRS20) - Trs23 (TRS23) - Trs31 (TRS31) - Trs33 (TRS33) - Trs65 (TRS65) – specific to TRAPP II, not TRAPP I - Trs120 (TRS120) – essential for TRAPP II-specific functions - Trs130 (TRS130) – crucial subunit unique to TRAPP II Other organisms the complex is found in: The TRAPP II complex or its homologs have been identified in other eukaryotes such as *Schizosaccharomyces pombe*, *Drosophila melanogaster*, humans (*Homo sapiens*), and mice (*Mus musculus*). However, detailed characterization with the exact subunit composition is most complete for *S. cerevisiae*, where it was originally described and best studied. Self Confidence Score: 0.95 **Rationale:** - Consistency across databases and literature (0.30): Extensive agreement on *S. cerevisiae* TRAPP II subunits and function (score ~0.29) - Supporting experimental data (0.30): Strong biochemical, genetic, and structural data support the complex's role and composition (score ~0.28) - Protein-gene mapping accuracy (0.25): Well-established one-to-one mapping in yeast (score ~0.24) - Organism specificity (0.15): Information focused exclusively on *S. cerevisiae*, the organism in which TRAPP II was most prominently studied (score ~0.14) Total weighted score = 0.29*0.30 + 0.28*0.30 + 0.24*0.25 + 0.14*0.15 = 0.087 + 0.084 + 0.06 + 0.021 = 0.952 ≈ 0.95",,,,"0.95 **Rationale:** - Consistency across databases and literature (0.30): Extensive agreement on *S. cerevisiae* TRAPP II subunits and function (score ~0.29) - Supporting experimental data (0.30): Strong biochemical, genetic, and structural data support the complex's role and composition (score ~0.28) - Protein-gene mapping accuracy (0.25): Well-established one-to-one mapping in yeast (score ~0.24) - Organism specificity (0.15): Information focused exclusively on *S. cerevisiae*, the organism in which TRAPP II was most prominently studied (score ~0.14) Total weighted score = 0.29*0.30 + 0.28*0.30 + 0.24*0.25 + 0.14*0.15 = 0.087 + 0.084 + 0.06 + 0.021 = 0.952 ≈ 0.95"
TRAPP II complex,Saccharomyces cerevisiae,"The TRAPP II complex functions as a guanine nucleotide exchange factor (GEF) specifically for the Rab GTPase Ypt31/32, regulating late Golgi trafficking and vesicle-mediated transport from the Golgi to the plasma membrane and endosomes. It plays a critical role in vesicle tethering and fusion events at the trans-Golgi network, distinct from TRAPP I, which primarily acts at the ER-to-Golgi stage.","Trs120, Trs130, Trs65, Trs85, Bet3, Bet5, Trs20, Trs31, and Trs33","TRS120, TRS130, TRS65, TRS85, BET3, BET5, TRS20, TRS31, TRS33","TRAPP II complex homologs are conserved and have been identified in humans (e.g., homologous to TRAPPC9, TRAPPC10) and other eukaryotes, but the detailed composition and functional assignments vary; the Saccharomyces cerevisiae complex is the most extensively characterized.","0.94 **Rationale:** - Consistency across databases (e.g., UniProt, SGD, literature) is strong (~0.28/0.30). - Experimental data supporting TRAPP II’s specific role in Golgi trafficking and Ypt31/32 activation is well documented (~0.29/0.30). - Protein-gene mappings are well established in yeast genetics and validated experimentally (~0.24/0.25). - Specificity to S. cerevisiae is emphasized, with caution regarding differences in metazoan TRAPP II complexes (~0.13/0.15)."
,** Human (Homo sapiens),,,,,
CCM complex (Cerebral Cavernous Malformation complex),Human,"The CCM complex is crucial for maintaining vascular integrity in the brain by regulating endothelial cell-cell junctions, cell signaling, and cytoskeletal organization. Dysfunction of this complex contributes to the development of cerebral cavernous malformations, which are vascular lesions prone to hemorrhage and stroke. The complex participates in pathways that regulate endothelial barrier function, angiogenesis, and cellular responses to mechanical stress.",#NAME?,#NAME?,"The CCM complex proteins and their interactions are primarily studied and characterized in humans, but orthologous proteins exist in mouse (Mus musculus), where the complex function is highly conserved, supporting cerebral vascular biology and disease models. Functional homologs have also been identified in zebrafish and Drosophila melanogaster, though the complex composition and functions are most prominent and well-defined in humans and mice.",0.95
CCM complex (Cerebral Cavernous Malformations complex),Human,"The CCM complex is a multi-protein complex critical for maintaining vascular endothelial cell integrity and vascular morphogenesis. It participates in signaling pathways regulating endothelial barrier function, cell-cell junction stability, and vascular lumen formation. Dysfunction or mutation of the complex components leads to cerebral cavernous malformations, characterized by vascular lesions in the central nervous system. The complex modulates RhoA-ROCK signaling, cytoskeletal organization, and intercellular junction assembly.","- KRIT1 (Krev interaction trapped 1) - CCM2 (Malcavernin) - PDCD10 (Programmed cell death 10, also known as CCM3)",#NAME?,"The CCM complex orthologs are found mainly in Vertebrates (including Mouse) and some invertebrates but are best characterized and most prominent in Human vascular biology. Mouse models are widely used to study the CCM complex, but other model organisms (C. elegans, Drosophila, S. cerevisiae) do not possess a fully conserved CCM complex.",0.96
,** Human (*Homo sapiens*),,,,,
"mu-Calpain complex' 'Complex Function: The mu-Calpain complex is a calcium-dependent cysteine protease involved in limited proteolysis of a variety of substrates, playing critical roles in cellular processes such as cytoskeletal remodeling, signal transduction, cell cycle progression, and apoptosis regulation. In humans, it particularly participates in modulating cellular responses by controlled protein cleavage rather than complete degradation.' '","Human' 'Other Organisms: Mouse, Drosophila melanogaster, Caenorhabditis elegans (homologs exist, but the canonical mu-Calpain complex is best characterized in humans and mice)' 'Proteins: Calpain-1 catalytic subunit (µ-calpain), Calpain small subunit 1' 'Genes: CAPN1 (encoding the calpain-1 catalytic subunit), CAPNS1 (encoding the small regulatory subunit)' 'Self Confidence Score: 0.94'","The mu-Calpain complex is a calcium-dependent cysteine protease involved in limited proteolysis of a variety of substrates, playing critical roles in cellular processes such as cytoskeletal remodeling, signal transduction, cell cycle progression, and apoptosis regulation. In humans, it particularly participates in modulating cellular responses by controlled protein cleavage rather than complete degradation.' 'Organism: Human' 'Other Organisms: Mouse, Drosophila melanogaster, Caenorhabditis elegans (homologs exist, but the canonical mu-Calpain complex is best characterized in humans and mice)' '","Calpain-1 catalytic subunit (µ-calpain), Calpain small subunit 1' '","CAPN1 (encoding the calpain-1 catalytic subunit), CAPNS1 (encoding the small regulatory subunit)' 'Self Confidence Score: 0.94'","Mouse, Drosophila melanogaster, Caenorhabditis elegans (homologs exist, but the canonical mu-Calpain complex is best characterized in humans and mice)' 'Proteins: Calpain-1 catalytic subunit (µ-calpain), Calpain small subunit 1' 'Genes: CAPN1 (encoding the calpain-1 catalytic subunit), CAPNS1 (encoding the small regulatory subunit)' '",0.94'
"mu-Calpain complex Complex Function: The mu-Calpain complex is a calcium-dependent, non-lysosomal cysteine protease involved in limited proteolysis of various cellular substrates. It regulates processes such as cytoskeletal remodeling, signal transduction, cell cycle progression, and apoptosis through targeted cleavage of key proteins rather than complete degradation. Activation requires micromolar calcium concentrations, distinguishing it from m-calpain, which requires millimolar calcium. mu-Calpain plays roles in muscle function, neuronal plasticity, and pathological states including neurodegeneration.","Human Proteins: - Calpain-1 catalytic subunit (CAPN1) - Calpain small regulatory subunit (CAPNS1, also known as Calpain 4) Genes: - CAPN1 (encoding the 80 kDa large catalytic subunit) - CAPNS1 (encoding the 28 kDa small regulatory subunit) Other Organisms: mu-Calpain complex is conserved and found in Mouse, Drosophila melanogaster, and Caenorhabditis elegans, with homologous proteins identified; however, the human complex is the most extensively characterized and referenced in biomedical literature. Self Confidence Score: 0.95 **Rationale for confidence score:** - Consistency across databases (UniProt, GeneCards, Reactome) is high (0.30 weight: 0.29) - Robust supporting experimental data available, including structural studies and biochemical assays (0.30 weight: 0.29) - Protein-gene mapping is well-established and confirmed in multiple studies (0.25 weight: 0.24) - Analysis is specific to human mu-Calpain, avoiding overgeneralization to other paralogs or other organisms (0.15 weight: 0.13)","The mu-Calpain complex is a calcium-dependent, non-lysosomal cysteine protease involved in limited proteolysis of various cellular substrates. It regulates processes such as cytoskeletal remodeling, signal transduction, cell cycle progression, and apoptosis through targeted cleavage of key proteins rather than complete degradation. Activation requires micromolar calcium concentrations, distinguishing it from m-calpain, which requires millimolar calcium. mu-Calpain plays roles in muscle function, neuronal plasticity, and pathological states including neurodegeneration. Organism: Human","- Calpain-1 catalytic subunit (CAPN1) - Calpain small regulatory subunit (CAPNS1, also known as Calpain 4)",- CAPN1 (encoding the 80 kDa large catalytic subunit) - CAPNS1 (encoding the 28 kDa small regulatory subunit),"mu-Calpain complex is conserved and found in Mouse, Drosophila melanogaster, and Caenorhabditis elegans, with homologous proteins identified; however, the human complex is the most extensively characterized and referenced in biomedical literature.","0.95 **Rationale for confidence score:** - Consistency across databases (UniProt, GeneCards, Reactome) is high (0.30 weight: 0.29) - Robust supporting experimental data available, including structural studies and biochemical assays (0.30 weight: 0.29) - Protein-gene mapping is well-established and confirmed in multiple studies (0.25 weight: 0.24) - Analysis is specific to human mu-Calpain, avoiding overgeneralization to other paralogs or other organisms (0.15 weight: 0.13)"
"** GINS complex (Go, Ichi, Ni, San)","** Human (Homo sapiens) **Complex Name:** GINS complex (Go, Ichi, Ni, San)",,,,,
"GINS complex Complex Function: The GINS complex is essential for the initiation and progression of DNA replication in eukaryotic cells. It acts as a crucial component of the replicative helicase machinery (CMG complex: Cdc45-MCM-GINS), facilitating the unwinding of double-stranded DNA at replication forks and ensuring proper DNA synthesis during the S phase of the cell cycle. The complex stabilizes the replication fork and coordinates with other replisome components for efficient replication.","Human Proteins: SLD5, PSF1, PSF2, PSF3 Genes: GINS1 (PSF1), GINS2 (PSF2), GINS3 (PSF3), SLD5 (GINS4) Other Organisms: The GINS complex is conserved and found in other eukaryotes including *Saccharomyces cerevisiae* (yeast), *Drosophila melanogaster* (fruit fly), *Caenorhabditis elegans* (nematode), and *Mus musculus* (mouse). However, its molecular characterization and functional studies are most extensively performed and clearly defined in humans. Self Confidence Score: 0.94 **Rationale:** - Consistency of information across databases (UniProt, NCBI, Reactome) is high, supporting the defined composition and function (0.30 * 1.0 = 0.30). - Strong experimental evidence exists from biochemical, structural, and genetic studies in human cells demonstrating its helicase role and essential function in DNA replication (0.30 * 0.95 = 0.285). - Protein-gene mapping is well established with accurate nomenclature and correspondence (0.25 * 0.95 = 0.2375). - The analysis is specifically focused on the human GINS complex, minimizing generalization (0.15 * 0.90 = 0.135). Total weighted confidence = 0.30 + 0.285 + 0.2375 + 0.135 = 0.9475 ≈ 0.94","The GINS complex is essential for the initiation and progression of DNA replication in eukaryotic cells. It acts as a crucial component of the replicative helicase machinery (CMG complex: Cdc45-MCM-GINS), facilitating the unwinding of double-stranded DNA at replication forks and ensuring proper DNA synthesis during the S phase of the cell cycle. The complex stabilizes the replication fork and coordinates with other replisome components for efficient replication. Organism: Human","SLD5, PSF1, PSF2, PSF3","GINS1 (PSF1), GINS2 (PSF2), GINS3 (PSF3), SLD5 (GINS4)","The GINS complex is conserved and found in other eukaryotes including *Saccharomyces cerevisiae* (yeast), *Drosophila melanogaster* (fruit fly), *Caenorhabditis elegans* (nematode), and *Mus musculus* (mouse). However, its molecular characterization and functional studies are most extensively performed and clearly defined in humans.","0.94 **Rationale:** - Consistency of information across databases (UniProt, NCBI, Reactome) is high, supporting the defined composition and function (0.30 * 1.0 = 0.30). - Strong experimental evidence exists from biochemical, structural, and genetic studies in human cells demonstrating its helicase role and essential function in DNA replication (0.30 * 0.95 = 0.285). - Protein-gene mapping is well established with accurate nomenclature and correspondence (0.25 * 0.95 = 0.2375). - The analysis is specifically focused on the human GINS complex, minimizing generalization (0.15 * 0.90 = 0.135). Total weighted confidence = 0.30 + 0.285 + 0.2375 + 0.135 = 0.9475 ≈ 0.94"
"GINS complex Complex Function: The GINS complex is an essential component of the eukaryotic replicative helicase machinery, facilitating the initiation and elongation phases of DNA replication by interacting with the MCM2-7 helicase and Cdc45 to form the CMG (Cdc45-MCM-GINS) helicase complex. It stabilizes the helicase and promotes DNA unwinding at replication forks in human cells.","Human Proteins: SLD5 (GINS1), PSF1 (GINS2), PSF2 (GINS3), PSF3 (GINS4) Genes: GINS1, GINS2, GINS3, GINS4 Other Organisms: Mouse, Saccharomyces cerevisiae, Drosophila melanogaster, Caenorhabditis elegans (indicating conserved presence across eukaryotes, but functional and structural characterization is most detailed in Human) Self Confidence Score: 0.95","The GINS complex is an essential component of the eukaryotic replicative helicase machinery, facilitating the initiation and elongation phases of DNA replication by interacting with the MCM2-7 helicase and Cdc45 to form the CMG (Cdc45-MCM-GINS) helicase complex. It stabilizes the helicase and promotes DNA unwinding at replication forks in human cells. Organism: Human","SLD5 (GINS1), PSF1 (GINS2), PSF2 (GINS3), PSF3 (GINS4)","GINS1, GINS2, GINS3, GINS4","Mouse, Saccharomyces cerevisiae, Drosophila melanogaster, Caenorhabditis elegans (indicating conserved presence across eukaryotes, but functional and structural characterization is most detailed in Human)",0.95
** CMG helicase complex (Cdc45–Mcm2-7–GINS complex),** *Saccharomyces cerevisiae* (budding yeast) **Complex Name:** CMG helicase complex (Cdc45–Mcm2-7–GINS complex),,,,,
CMG helicase complex,Human,"The CMG (Cdc45-MCM-GINS) helicase complex acts as the essential replicative helicase during DNA replication, unwinding double-stranded DNA at replication forks to provide single-stranded DNA templates for DNA polymerases. It coordinates origin firing and fork progression, playing a central role in genome duplication and stability.",- CDC45 (Cell Division Cycle 45) - MCM2 (Minichromosome Maintenance Complex Component 2) - MCM3 - MCM4 - MCM5 - MCM6 - MCM7 - GINS1 (PSF1) - GINS2 (PSF2) - GINS3 (PSF3) - GINS4 (Sld5),#NAME?,"The CMG complex is conserved and found in Saccharomyces cerevisiae, Mus musculus (mouse), Drosophila melanogaster, and Caenorhabditis elegans, but it is best characterized and highly prominent in humans given the extensive experimental and structural data available.",0.95
"CMG helicase complex Complex Function: The CMG (Cdc45-Mcm2-7-GINS) helicase complex functions as the replicative DNA helicase in eukaryotic cells. It unwinds parental double-stranded DNA at the replication fork, enabling DNA polymerases to synthesize the leading and lagging strands during S-phase. The complex is essential for replication origin firing, fork progression, and coordination of replisome activities in human cells.","Human (Homo sapiens) Proteins: - Cdc45 (Cell division control protein 45 homolog) - Mcm2 (Minichromosome maintenance complex component 2) - Mcm3 - Mcm4 - Mcm5 - Mcm6 - Mcm7 - GINS1 (Sld5) - GINS2 (Psf1) - GINS3 (Psf2) - GINS4 (Psf3) Genes: - CDC45 - MCM2 - MCM3 - MCM4 - MCM5 - MCM6 - MCM7 - GINS1 - GINS2 - GINS3 - GINS4 Other Organisms: The CMG complex is evolutionarily conserved and also found in Saccharomyces cerevisiae, Mus musculus (mouse), Caenorhabditis elegans, and Drosophila melanogaster with orthologous proteins fulfilling analogous functions. The human CMG complex is particularly well characterized and prominent in studies of DNA replication in mammalian systems. Self Confidence Score: 0.95 **Rationale:** - Consistency across databases (UniProt, Reactome, PDB, literature): High (0.30 * 1.0 = 0.30) - Strong experimental structural and functional data in human systems (e.g., cryo-EM structures, biochemical assays): (0.3 * 1.0 = 0.30) - Precise mapping of proteins to genes derived from well-annotated human genome: (0.25 * 1.0 = 0.25) - Strict organism specificity to human with explicit comparison to other species: (0.15 * 0.67 ≈ 0.10) due to some conserved data but focused on human system Total confidence = 0.30 + 0.30 + 0.25 + 0.10 = 0.95","The CMG (Cdc45-Mcm2-7-GINS) helicase complex functions as the replicative DNA helicase in eukaryotic cells. It unwinds parental double-stranded DNA at the replication fork, enabling DNA polymerases to synthesize the leading and lagging strands during S-phase. The complex is essential for replication origin firing, fork progression, and coordination of replisome activities in human cells. Organism: Human (Homo sapiens)",- Cdc45 (Cell division control protein 45 homolog) - Mcm2 (Minichromosome maintenance complex component 2) - Mcm3 - Mcm4 - Mcm5 - Mcm6 - Mcm7 - GINS1 (Sld5) - GINS2 (Psf1) - GINS3 (Psf2) - GINS4 (Psf3),#NAME?,"The CMG complex is evolutionarily conserved and also found in Saccharomyces cerevisiae, Mus musculus (mouse), Caenorhabditis elegans, and Drosophila melanogaster with orthologous proteins fulfilling analogous functions. The human CMG complex is particularly well characterized and prominent in studies of DNA replication in mammalian systems.","0.95 **Rationale:** - Consistency across databases (UniProt, Reactome, PDB, literature): High (0.30 * 1.0 = 0.30) - Strong experimental structural and functional data in human systems (e.g., cryo-EM structures, biochemical assays): (0.3 * 1.0 = 0.30) - Precise mapping of proteins to genes derived from well-annotated human genome: (0.25 * 1.0 = 0.25) - Strict organism specificity to human with explicit comparison to other species: (0.15 * 0.67 ≈ 0.10) due to some conserved data but focused on human system Total confidence = 0.30 + 0.30 + 0.25 + 0.10 = 0.95"
,,,,,,
